learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes)
1000.0,0.141956595,4.0396699914708727E-10,1000.0,1.0,1.0,0.999,0.0,0.0,1.7976931348623157E308,?,0.999,-Infinity,1000.0,11000.0
2000.0,0.26244453,7.468404636407891E-10,2000.0,1.0,1.0,0.9995,0.0,0.0,1.7976931348623157E308,?,0.9995,-Infinity,2000.0,11000.0
3000.0,0.36755674,1.045959106542998E-9,3000.0,1.0,1.0,0.9996666666666667,0.0,0.0,1.7976931348623157E308,?,0.9996666666666667,-Infinity,3000.0,11000.0
4000.0,0.446232239,1.269846592978057E-9,4000.0,1.0,1.0,0.99975,0.0,0.0,1.7976931348623157E308,?,0.99975,-Infinity,4000.0,11000.0
5000.0,0.469686127,1.3365895065685942E-9,5000.0,1.0,1.0,0.9998,0.0,0.0,1.7976931348623157E308,?,0.9998,-Infinity,5000.0,11000.0
6000.0,0.490807793,1.3966955976664193E-9,6000.0,1.0,1.0,0.9998333333333334,0.0,0.0,1.7976931348623157E308,?,0.9998333333333334,-Infinity,6000.0,11000.0
7000.0,0.509080391,1.4486940735433665E-9,7000.0,1.0,1.0,0.9998571428571429,0.0,0.0,1.7976931348623157E308,?,0.9998571428571429,-Infinity,7000.0,11000.0
8000.0,0.529269256,1.5061456854972575E-9,8000.0,0.49987496874218557,-0.49987496874218557,0.9995,-2.5006251544174105E-4,0.0,3999.0,0.0,0.9997499374843711,-1.0,8000.0,11000.0
9000.0,0.554156395,1.5769672127337093E-9,9000.0,0.4998888641920427,-0.4998888641920427,0.9995555555555555,-2.2227161581612714E-4,0.0,4499.0,0.0,0.9997777283840854,-1.0,9000.0,11000.0
10000.0,0.576903882,1.641699915441374E-9,10000.0,0.4998999799959992,-0.4998999799959992,0.9996,-2.0004000789630906E-4,0.0,4999.0,0.0,0.9997999599919984,-1.0,10000.0,11000.0
11000.0,0.602415037,1.714297209918085E-9,11000.0,0.4999499899979996,-0.4999499899979996,0.9997,-1.3335111341161276E-4,0.4998999799959992,4999.0,0.0,0.9998999799959992,-0.6499999999999084,11000.0,11000.0
12000.0,0.625462337,1.779883092838443E-9,12000.0,0.4999499899979996,-0.4999499899979996,0.9997,-1.3335111341161276E-4,0.4998999799959992,4999.0,0.0,0.9998999799959992,-0.8,12000.0,11000.0
13000.0,0.651196988,1.8531163916405704E-9,13000.0,0.4999499899979996,-0.4999499899979996,0.9997,-1.3335111341161276E-4,0.4998999799959992,4999.0,0.0,0.9998999799959992,-0.949999999999567,13000.0,11000.0
14000.0,0.677709973,1.9285646016295587E-9,14000.0,0.4999499899979996,-0.4999499899979996,0.9997,-1.3335111341161276E-4,0.4998999799959992,4999.0,0.0,0.9998999799959992,-1.1000000000002332,14000.0,11000.0
15000.0,0.697548505,1.9850192682093216E-9,15000.0,0.4999499899979996,-0.4999499899979996,0.9997,-1.3335111341161276E-4,0.4998999799959992,4999.0,0.0,0.9998999799959992,-1.25,15000.0,11000.0
16000.0,0.720892313,2.0514489262778725E-9,16000.0,0.4998999799959992,-0.4998999799959992,0.9996,-2.0004000789630906E-4,0.4998999799959992,4999.0,0.0,0.9997999599919984,-2.199999999998579,16000.0,11000.0
17000.0,0.742200397,2.112085508544826E-9,17000.0,0.4998999799959992,-0.4998999799959992,0.9996,-2.0004000789630906E-4,0.4998999799959992,4999.0,0.0,0.9997999599919984,-2.3999999999988675,17000.0,11000.0
18000.0,0.763458522,2.1725799220924576E-9,18000.0,1.0,1.0,0.9999,0.0,0.4998999799959992,1.7976931348623157E308,?,0.9999,0.09999999999970025,18000.0,11000.0
19000.0,0.782381959,2.2264304956317778E-9,19000.0,1.0,1.0,0.9999,0.0,0.4998999799959992,1.7976931348623157E308,?,0.9999,0.04999999999994727,19000.0,11000.0
20000.0,0.801843504,2.281812367339929E-9,20000.0,1.0,1.0,0.9999,0.0,0.4998999799959992,1.7976931348623157E308,?,0.9999,0.0,20000.0,11000.0
