learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes)
1000.0,1.021065498,6.817509847326204E-7,1000.0,1.0,1.0,0.999,0.0,0.0,1.7976931348623157E308,?,0.999,-Infinity,1000.0,2580920.0
2000.0,2.548428483,1.7015496373239593E-6,2000.0,1.0,1.0,0.9995,0.0,0.0,1.7976931348623157E308,?,0.9995,-Infinity,2000.0,2580920.0
3000.0,4.202571879,2.8059977763717063E-6,3000.0,1.0,1.0,0.9996666666666667,0.0,0.0,1.7976931348623157E308,?,0.9996666666666667,-Infinity,3000.0,2580920.0
4000.0,6.075823369,4.056741289359693E-6,4000.0,1.0,1.0,0.99975,0.0,0.0,1.7976931348623157E308,?,0.99975,-Infinity,4000.0,2580920.0
5000.0,7.736679915,5.165671703670018E-6,5000.0,1.0,1.0,0.9998,0.0,0.0,1.7976931348623157E308,?,0.9998,-Infinity,5000.0,2580920.0
6000.0,9.971055763,6.657532840512372E-6,6000.0,1.0,1.0,0.9998333333333334,0.0,0.0,1.7976931348623157E308,?,0.9998333333333334,-Infinity,6000.0,2580920.0
7000.0,11.561990808,7.719777658008288E-6,7000.0,1.0,1.0,0.9998571428571429,0.0,0.0,1.7976931348623157E308,?,0.9998571428571429,-Infinity,7000.0,2580920.0
8000.0,13.450656318,8.980812894038793E-6,8000.0,0.749187296824206,-0.14985621405351335,0.999625,-1.666944492462227E-4,0.0,3999.0,0.0,0.9998749687421855,-0.500000000000222,8000.0,2580920.0
9000.0,14.957076704,9.986628469619816E-6,9000.0,0.7492776172482774,-0.14987219382084904,0.9996666666666667,-1.4817009954148615E-4,0.0,4499.0,0.0,0.9998888641920427,-0.4999999999997502,9000.0,2580920.0
10000.0,16.671368512,1.1131236852247846E-5,10000.0,0.7493498699739948,-0.14988497699539916,0.9997,-1.3335111341161276E-4,0.0,4999.0,0.0,0.9998999799959992,-0.5,10000.0,2580920.0
11000.0,18.792058161,1.254719132270046E-5,11000.0,0.7494248849769954,-0.14989997999599936,0.9998,0.0,0.7493498699739948,4999.0,0.0,1.0,-0.09999999999993894,11000.0,2580920.0
12000.0,20.678934316,1.3807031831717199E-5,12000.0,0.7494248849769954,-0.14989997999599936,0.9998,0.0,0.7493498699739948,4999.0,0.0,1.0,-0.2,12000.0,2580920.0
13000.0,23.086691723,1.5414657382119953E-5,13000.0,0.7494248849769954,-0.14989997999599936,0.9998,0.0,0.7493498699739948,4999.0,0.0,1.0,-0.29999999999971133,13000.0,2580920.0
14000.0,24.920131686,1.6638819301871147E-5,14000.0,0.7494248849769954,-0.14989997999599936,0.9998,0.0,0.7493498699739948,4999.0,0.0,1.0,-0.40000000000015545,14000.0,2580920.0
15000.0,26.772647104,1.787571763300432E-5,15000.0,0.7494248849769954,-0.14989997999599936,0.9998,0.0,0.7493498699739948,4999.0,0.0,1.0,-0.5,15000.0,2580920.0
16000.0,28.420124873,1.8975715227224126E-5,16000.0,0.7494248849769954,-0.14989997999599936,0.9998,0.0,0.7493498699739948,4999.0,0.0,1.0,-0.5999999999992894,16000.0,2580920.0
17000.0,30.062150997,2.0072072835219308E-5,17000.0,0.7494248849769954,-0.14989997999599936,0.9998,0.0,0.7493498699739948,4999.0,0.0,1.0,-0.6999999999994337,17000.0,2580920.0
18000.0,31.700474947,2.1165958554021193E-5,18000.0,1.0,1.0,1.0,?,0.7493498699739948,1.7976931348623157E308,?,1.0,1.0,18000.0,2580920.0
19000.0,33.694373769,2.2497256583401588E-5,19000.0,1.0,1.0,1.0,?,0.7493498699739948,1.7976931348623157E308,?,1.0,1.0,19000.0,2580920.0
20000.0,35.199014225,2.3501883724907977E-5,20000.0,1.0,1.0,1.0,?,0.7493498699739948,1.7976931348623157E308,?,1.0,1.0,20000.0,2580920.0
21000.0,36.976763125,2.4688861509933804E-5,21000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,1.0,21000.0,2580920.0
22000.0,38.667152024,2.58175102584535E-5,22000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,1.0,22000.0,2580920.0
