learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes)
1000.0,0.887936041,5.928623301022893E-7,1000.0,1.0,1.0,0.999,0.0,0.0,1.7976931348623157E308,?,0.999,-Infinity,1000.0,2580920.0
2000.0,2.40816314,1.6078964525856493E-6,2000.0,1.0,1.0,0.9995,0.0,0.0,1.7976931348623157E308,?,0.9995,-Infinity,2000.0,2580920.0
3000.0,3.846582723,2.5683088542285996E-6,3000.0,1.0,1.0,0.9996666666666667,0.0,0.0,1.7976931348623157E308,?,0.9996666666666667,-Infinity,3000.0,2580920.0
4000.0,5.399956336,3.6054744350799253E-6,4000.0,1.0,1.0,0.99975,0.0,0.0,1.7976931348623157E308,?,0.99975,-Infinity,4000.0,2580920.0
5000.0,7.488325846,4.999849206058702E-6,5000.0,1.0,1.0,0.9998,0.0,0.0,1.7976931348623157E308,?,0.9998,-Infinity,5000.0,2580920.0
6000.0,9.433636009,6.298705275364085E-6,6000.0,1.0,1.0,0.9998333333333334,0.0,0.0,1.7976931348623157E308,?,0.9998333333333334,-Infinity,6000.0,2580920.0
7000.0,10.726018867,7.161611022173541E-6,7000.0,1.0,1.0,0.9998571428571429,0.0,0.0,1.7976931348623157E308,?,0.9998571428571429,-Infinity,7000.0,2580920.0
8000.0,12.440130044,8.306098800038835E-6,8000.0,0.7490935233808452,-0.1997780695173792,0.999625,-1.666944492462227E-4,0.0,3999.0,0.0,0.9998749687421855,-0.500000000000222,8000.0,2580920.0
9000.0,13.621523131,9.094898247279154E-6,9000.0,0.7491942653923094,-0.1998027339408759,0.9996666666666667,-1.4817009954148615E-4,0.0,4499.0,0.0,0.9998888641920427,-0.4999999999997502,9000.0,2580920.0
10000.0,15.397989062,1.028101941205795E-5,10000.0,0.7492748549709942,-0.19982246449289864,0.9997,-1.3335111341161276E-4,0.0,4999.0,0.0,0.9998999799959992,-0.5,10000.0,2580920.0
11000.0,17.097904621,1.1416028976655492E-5,11000.0,0.7493498699739948,-0.1998424684936987,0.9998,0.0,0.7492748549709942,4999.0,0.0,1.0,-0.09999999999993894,11000.0,2580920.0
12000.0,18.671767712,1.2466875092037186E-5,12000.0,0.7493498699739948,-0.1998424684936987,0.9998,0.0,0.7492748549709942,4999.0,0.0,1.0,-0.2,12000.0,2580920.0
13000.0,20.518460276,1.3699885585949114E-5,13000.0,0.7493498699739948,-0.1998424684936987,0.9998,0.0,0.7492748549709942,4999.0,0.0,1.0,-0.29999999999971133,13000.0,2580920.0
14000.0,21.978793534,1.467492943830666E-5,14000.0,0.7493498699739948,-0.1998424684936987,0.9998,0.0,0.7492748549709942,4999.0,0.0,1.0,-0.40000000000015545,14000.0,2580920.0
15000.0,23.364251111,1.5599979857966437E-5,15000.0,0.7493498699739948,-0.1998424684936987,0.9998,0.0,0.7492748549709942,4999.0,0.0,1.0,-0.5,15000.0,2580920.0
16000.0,24.90695221,1.663001955223818E-5,16000.0,0.7493498699739948,-0.1998424684936987,0.9998,0.0,0.7492748549709942,4999.0,0.0,1.0,-0.5999999999992894,16000.0,2580920.0
17000.0,26.415596587,1.7637320055139984E-5,17000.0,0.7493498699739948,-0.1998424684936987,0.9998,0.0,0.7492748549709942,4999.0,0.0,1.0,-0.6999999999994337,17000.0,2580920.0
18000.0,27.90432523,1.8631323104261626E-5,18000.0,1.0,1.0,1.0,?,0.7492748549709942,1.7976931348623157E308,?,1.0,1.0,18000.0,2580920.0
19000.0,29.381229092,1.9617430914432594E-5,19000.0,1.0,1.0,1.0,?,0.7492748549709942,1.7976931348623157E308,?,1.0,1.0,19000.0,2580920.0
20000.0,30.857782611,2.0603304805539887E-5,20000.0,1.0,1.0,1.0,?,0.7492748549709942,1.7976931348623157E308,?,1.0,1.0,20000.0,2580920.0
21000.0,32.406446774,2.1637325953265877E-5,21000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,1.0,21000.0,2580920.0
22000.0,33.941483912,2.2662248529224508E-5,22000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,1.0,22000.0,2580920.0
23000.0,35.096675027,2.3433553290523594E-5,23000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,1.0,23000.0,2580920.0
24000.0,36.288166929,2.422909557363915E-5,24000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,1.0,24000.0,2580920.0
25000.0,37.780975253,2.5225822568036187E-5,25000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,1.0,25000.0,2580920.0
26000.0,39.215487235,2.6183625919784776E-5,26000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,1.0,26000.0,2580920.0
27000.0,40.979566975,2.7361477000099963E-5,27000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,1.0,27000.0,2580920.0
28000.0,42.731715552,2.8531361811708403E-5,28000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,1.0,28000.0,2580920.0
29000.0,44.116988912,2.9456289232283988E-5,29000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,1.0,29000.0,2580920.0
30000.0,45.196707147,3.017720181956349E-5,30000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,1.0,30000.0,2580920.0
31000.0,47.033772478,3.14037843462286E-5,31000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,1.0,31000.0,2580920.0
32000.0,48.691893858,3.2510888528903874E-5,32000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,1.0,32000.0,2580920.0
33000.0,50.542578905,3.374656474722046E-5,33000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,1.0,33000.0,2580920.0
34000.0,52.171415317,3.483411577115032E-5,34000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,1.0,34000.0,2580920.0
35000.0,53.880804173,3.5975450522105706E-5,35000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,1.0,35000.0,2580920.0
36000.0,55.132218384,3.6811002083027846E-5,36000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,1.0,36000.0,2580920.0
37000.0,56.513045297,3.773296067385965E-5,37000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,1.0,37000.0,2580920.0
38000.0,58.127791246,3.8811103695027294E-5,38000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,1.0,38000.0,2580920.0
39000.0,59.528500129,3.974633719589423E-5,39000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,1.0,39000.0,2580920.0
40000.0,60.843667276,4.062445569006672E-5,40000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,1.0,40000.0,2580920.0
41000.0,62.27768068,4.158192614833969E-5,41000.0,0.49994999499949994,-0.49994999499949994,0.9999,0.0,1.0,9999.0,0.0,1.0,-0.36666666666651493,41000.0,2580920.0
42000.0,64.054929027,4.276856972121034E-5,42000.0,0.7498499699939988,-0.20000750150030022,0.9998,0.0,1.0,4999.0,0.0,1.0,-1.0999999999986012,42000.0,2580920.0
43000.0,65.439279937,4.369288123497378E-5,43000.0,0.7498499699939988,-0.20000750150030022,0.9998,0.0,1.0,4999.0,0.0,1.0,-1.149999999999821,43000.0,2580920.0
44000.0,67.139261326,4.482793475333081E-5,44000.0,0.7498499699939988,-0.20000750150030022,0.9998,0.0,1.0,4999.0,0.0,1.0,-1.1999999999985345,44000.0,2580920.0
45000.0,68.601037949,4.580394232007495E-5,45000.0,0.7498499699939988,-0.20000750150030022,0.9998,0.0,1.0,4999.0,0.0,1.0,-1.2499999999990632,45000.0,2580920.0
46000.0,69.977514399,4.672299616832158E-5,46000.0,0.7498499699939988,-0.20000750150030022,0.9998,0.0,1.0,4999.0,0.0,1.0,-1.299999999998468,46000.0,2580920.0
47000.0,71.95771833,4.8045150312766735E-5,47000.0,0.7498499699939988,-0.20000750150030022,0.9998,0.0,1.0,4999.0,0.0,1.0,-1.3499999999986956,47000.0,2580920.0
48000.0,73.885826891,4.9332521115822845E-5,48000.0,0.7498499699939988,-0.20000750150030022,0.9998,0.0,1.0,4999.0,0.0,1.0,-1.4,48000.0,2580920.0
49000.0,75.502569842,5.0411997506967904E-5,49000.0,0.7498499699939988,-0.20000750150030022,0.9998,0.0,1.0,4999.0,0.0,1.0,-1.449999999998368,49000.0,2580920.0
50000.0,77.311968017,5.162010706506763E-5,50000.0,0.7498499699939988,-0.20000750150030022,0.9998,0.0,1.0,4999.0,0.0,1.0,-1.500000000000694,50000.0,2580920.0
51000.0,78.667082813,5.2524898039210155E-5,51000.0,0.9998999899989999,0.09988998899889978,0.9999,0.0,0.7498499699939988,9999.0,0.0,1.0,-0.27499999999957536,51000.0,2580920.0
52000.0,80.581485181,5.380311741114555E-5,52000.0,1.0,1.0,1.0,?,0.7498499699939988,1.7976931348623157E308,?,1.0,1.0,52000.0,2580920.0
53000.0,82.013642278,5.4759348439501734E-5,53000.0,1.0,1.0,1.0,?,0.7498499699939988,1.7976931348623157E308,?,1.0,1.0,53000.0,2580920.0
54000.0,83.614956106,5.5828523023544886E-5,54000.0,1.0,1.0,1.0,?,0.7498499699939988,1.7976931348623157E308,?,1.0,1.0,54000.0,2580920.0
55000.0,85.38186004,5.7008259778230964E-5,55000.0,1.0,1.0,1.0,?,0.7498499699939988,1.7976931348623157E308,?,1.0,1.0,55000.0,2580920.0
56000.0,86.724375129,5.790463810629798E-5,56000.0,1.0,1.0,1.0,?,0.7498499699939988,1.7976931348623157E308,?,1.0,1.0,56000.0,2580920.0
57000.0,87.977591928,5.8741393229720737E-5,57000.0,1.0,1.0,1.0,?,0.7498499699939988,1.7976931348623157E308,?,1.0,1.0,57000.0,2580920.0
58000.0,89.439050963,5.971718874745121E-5,58000.0,1.0,1.0,1.0,?,0.7498499699939988,1.7976931348623157E308,?,1.0,1.0,58000.0,2580920.0
59000.0,91.257955028,6.0931645253793684E-5,59000.0,1.0,1.0,1.0,?,0.7498499699939988,1.7976931348623157E308,?,1.0,1.0,59000.0,2580920.0
60000.0,92.688474357,6.188678276763101E-5,60000.0,1.0,1.0,1.0,?,0.7498499699939988,1.7976931348623157E308,?,1.0,1.0,60000.0,2580920.0
61000.0,94.658862071,6.32023827628867E-5,61000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,1.0,61000.0,2580920.0
62000.0,96.007605507,6.410291967011325E-5,62000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,1.0,62000.0,2580920.0
63000.0,97.835277589,6.532323045733742E-5,63000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,1.0,63000.0,2580920.0
64000.0,99.604884962,6.650477225998958E-5,64000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,1.0,64000.0,2580920.0
65000.0,101.32552146,6.765361690235198E-5,65000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,1.0,65000.0,2580920.0
66000.0,102.963166821,6.874704953688074E-5,66000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,1.0,66000.0,2580920.0
67000.0,104.863162062,7.001564947398197E-5,67000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,1.0,67000.0,2580920.0
68000.0,106.261112123,7.094904094843739E-5,68000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,1.0,68000.0,2580920.0
69000.0,107.845975482,7.200723178710668E-5,69000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,1.0,69000.0,2580920.0
70000.0,109.465356914,7.30884698546804E-5,70000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,1.0,70000.0,2580920.0
71000.0,110.746993315,7.394420034421548E-5,71000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,1.0,71000.0,2580920.0
72000.0,112.306178457,7.49852462007458E-5,72000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,1.0,72000.0,2580920.0
73000.0,114.048662861,7.614867838079214E-5,73000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,1.0,73000.0,2580920.0
74000.0,116.183968856,7.757439197864472E-5,74000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,1.0,74000.0,2580920.0
75000.0,117.705942121,7.859059199145768E-5,75000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,1.0,75000.0,2580920.0
