learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.055864403,2.036598529345873E-9,1000.0,1.0,1.0,0.997,0.0,0.0,1.7976931348623157E308,?,0.997,-Infinity,1000.0,140920.0,5.0,609.4,226.83650499864436,18928.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.098580652,3.5938665787792863E-9,2000.0,1.0,1.0,0.9985,0.0,0.0,1.7976931348623157E308,?,0.9985,-Infinity,2000.0,140920.0,5.0,1212.2,457.1495378976118,18928.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.134430445,4.914462257149732E-9,3000.0,1.0,1.0,0.999,0.0,0.0,1.7976931348623157E308,?,0.999,-Infinity,3000.0,142392.0,5.0,1794.0,665.6181337674027,19222.4,21.466252583998386,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.170470248,6.242057317213879E-9,4000.0,1.0,1.0,0.99925,0.0,0.0,1.7976931348623157E308,?,0.99925,-Infinity,4000.0,142392.0,5.0,2387.2,893.73720969869,19222.4,21.466252583998386,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.207145615,7.593064592565512E-9,5000.0,1.0,1.0,0.9994,0.0,0.0,1.7976931348623157E308,?,0.9994,-Infinity,5000.0,142392.0,5.0,2982.0,1133.504962494651,19222.4,21.466252583998386,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.247516407,9.080199914311781E-9,6000.0,1.0,1.0,0.9995,0.0,0.0,1.7976931348623157E308,?,0.9995,-Infinity,6000.0,142392.0,5.0,3582.4,1351.1738600195017,19222.4,21.466252583998386,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.285830533,1.0491574011120115E-8,7000.0,1.0,1.0,0.9995714285714286,0.0,0.0,1.7976931348623157E308,?,0.9995714285714286,-Infinity,7000.0,142392.0,5.0,4178.6,1605.9854607062919,19222.4,21.466252583998386,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.424051913,2.332868519011264E-8,8000.0,0.7457801950487621,0.129868243057494,0.999375,0.2854590925329483,0.0,3999.0,0.706929938172356,0.9994998749687422,-1.500000000000222,8000.0,359000.0,5.0,9897.8,1513.686790587802,62630.4,23452.923672753466,16.0,24.596747752497688,14.2,25.043961347997644,14.2,25.043961347997644,1.8,0.4472135954999579,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,0.481638338,3.0340829958723236E-8,9000.0,0.7460268948655256,0.1296103869022588,0.9994444444444445,0.2854874563353635,0.0,4499.0,0.7069495939485965,0.9995554567681707,-1.4999999999997502,9000.0,470688.0,5.0,10960.2,1590.4451263718595,84948.8,61502.801393107286,16.0,24.596747752497688,14.2,25.043961347997644,14.2,25.043961347997644,1.8,0.4472135954999579,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,0.529207864,3.613787091680078E-8,10000.0,0.745874174834967,0.12975421991276126,0.9995,0.2855101457560377,0.0,4999.0,0.706965317389756,0.9995999199839968,-1.5,10000.0,471064.0,5.0,11688.8,1703.5303636859544,85024.0,61460.71603878367,16.0,24.596747752497688,14.2,25.043961347997644,14.2,25.043961347997644,1.8,0.4472135954999579,0.0,0.0,0.0,0.0,1.0,0.0
11000.0,0.58642784,4.311096004306649E-8,11000.0,0.7460992198439688,0.12979211119557454,0.9998,0.49989997999605185,0.745874174834967,4999.0,0.7070714178907246,0.9998999799959992,-0.09999999999993894,11000.0,471064.0,5.0,12050.6,1595.4613125989613,85024.0,61460.71603878367,16.0,24.596747752497688,14.2,25.043961347997644,14.2,25.043961347997644,1.8,0.4472135954999579,0.0,0.0,0.0,0.0,1.0,0.0
12000.0,0.64198102,4.988092575202593E-8,12000.0,0.7460992198439688,0.12979211119557454,0.9998,0.49989997999605185,0.745874174834967,4999.0,0.7070714178907246,0.9998999799959992,-0.2,12000.0,471064.0,5.0,12407.0,1598.8883638328225,85024.0,61460.71603878367,16.0,24.596747752497688,14.2,25.043961347997644,14.2,25.043961347997644,1.8,0.4472135954999579,0.0,0.0,0.0,0.0,1.0,0.0
13000.0,0.698355693,5.6751002371650605E-8,13000.0,0.7460992198439688,0.12979211119557454,0.9998,0.49989997999605185,0.745874174834967,4999.0,0.7070714178907246,0.9998999799959992,-0.29999999999971133,13000.0,471064.0,5.0,12776.4,1683.9580754876292,85024.0,61460.71603878367,16.0,24.596747752497688,14.2,25.043961347997644,14.2,25.043961347997644,1.8,0.4472135954999579,0.0,0.0,0.0,0.0,1.0,0.0
14000.0,0.756069817,6.378431064315968E-8,14000.0,0.7460992198439688,0.12979211119557454,0.9998,0.49989997999605185,0.745874174834967,4999.0,0.7070714178907246,0.9998999799959992,-0.40000000000015545,14000.0,471064.0,5.0,13182.6,1859.9578758670855,85024.0,61460.71603878367,16.0,24.596747752497688,14.2,25.043961347997644,14.2,25.043961347997644,1.8,0.4472135954999579,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,0.823773071,7.20349401834483E-8,15000.0,0.7460992198439688,0.12979211119557454,0.9998,0.49989997999605185,0.745874174834967,4999.0,0.7070714178907246,0.9998999799959992,-0.5,15000.0,471064.0,5.0,13564.0,2082.3133769920414,85024.0,61460.71603878367,16.0,24.596747752497688,14.2,25.043961347997644,14.2,25.043961347997644,1.8,0.4472135954999579,0.0,0.0,0.0,0.0,1.0,0.0
16000.0,0.900168156,8.171571685291619E-8,16000.0,0.7460992198439688,0.12979211119557454,0.9998,0.49989997999605185,0.745874174834967,4999.0,0.7070714178907246,0.9998999799959992,-0.5999999999992894,16000.0,489832.0,5.0,14528.6,2533.4953720107724,88774.4,69846.84717866656,16.0,24.596747752497688,14.2,25.043961347997644,14.2,25.043961347997644,1.8,0.4472135954999579,0.0,0.0,0.0,0.0,1.0,0.0
17000.0,0.969304146,9.047662181182246E-8,17000.0,0.7460992198439688,0.12979211119557454,0.9998,0.49989997999605185,0.745874174834967,4999.0,0.7070714178907246,0.9998999799959992,-0.6999999999994337,17000.0,489832.0,5.0,14908.0,2786.1369313082946,88774.4,69846.84717866656,16.0,24.596747752497688,14.2,25.043961347997644,14.2,25.043961347997644,1.8,0.4472135954999579,0.0,0.0,0.0,0.0,1.0,0.0
18000.0,1.032166187,9.844249265165377E-8,18000.0,1.0,1.0,1.0,?,0.745874174834967,1.7976931348623157E308,?,1.0,1.0,18000.0,489832.0,5.0,15312.4,3071.5550296226174,88774.4,69846.84717866656,16.0,24.596747752497688,14.2,25.043961347997644,14.2,25.043961347997644,1.8,0.4472135954999579,0.0,0.0,0.0,0.0,1.0,0.0
19000.0,1.094252392,1.0631004963990507E-7,19000.0,1.0,1.0,1.0,?,0.745874174834967,1.7976931348623157E308,?,1.0,1.0,19000.0,489832.0,5.0,15711.8,3368.7181835232223,88774.4,69846.84717866656,16.0,24.596747752497688,14.2,25.043961347997644,14.2,25.043961347997644,1.8,0.4472135954999579,0.0,0.0,0.0,0.0,1.0,0.0
20000.0,1.157605102,1.143380980008116E-7,20000.0,1.0,1.0,1.0,?,0.745874174834967,1.7976931348623157E308,?,1.0,1.0,20000.0,489832.0,5.0,16132.4,3686.0590472752874,88774.4,69846.84717866656,16.0,24.596747752497688,14.2,25.043961347997644,14.2,25.043961347997644,1.8,0.4472135954999579,0.0,0.0,0.0,0.0,1.0,0.0
21000.0,1.221791318,1.2247176814928028E-7,21000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,1.0,21000.0,489832.0,5.0,16523.2,3966.1504888241443,88774.4,69846.84717866656,16.0,24.596747752497688,14.2,25.043961347997644,14.2,25.043961347997644,1.8,0.4472135954999579,0.0,0.0,0.0,0.0,1.0,0.0
22000.0,1.284169854,1.3037636928931913E-7,22000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,1.0,22000.0,489832.0,5.0,16936.0,4287.3079548826445,88774.4,69846.84717866656,16.0,24.596747752497688,14.2,25.043961347997644,14.2,25.043961347997644,1.8,0.4472135954999579,0.0,0.0,0.0,0.0,1.0,0.0
23000.0,1.346785733,1.3831104650790492E-7,23000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,1.0,23000.0,489832.0,5.0,17363.6,4606.973985166402,88774.4,69846.84717866656,16.0,24.596747752497688,14.2,25.043961347997644,14.2,25.043961347997644,1.8,0.4472135954999579,0.0,0.0,0.0,0.0,1.0,0.0
24000.0,1.406758022,1.4591072829588627E-7,24000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,1.0,24000.0,489832.0,5.0,17805.6,4942.323168308604,88774.4,69846.84717866656,16.0,24.596747752497688,14.2,25.043961347997644,14.2,25.043961347997644,1.8,0.4472135954999579,0.0,0.0,0.0,0.0,1.0,0.0
25000.0,1.473206315,1.543310485900566E-7,25000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,1.0,25000.0,489832.0,5.0,18231.8,5250.278821167501,88774.4,69846.84717866656,16.0,24.596747752497688,14.2,25.043961347997644,14.2,25.043961347997644,1.8,0.4472135954999579,0.0,0.0,0.0,0.0,1.0,0.0
26000.0,1.543210391,1.6320195731027673E-7,26000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,1.0,26000.0,489832.0,5.0,18687.8,5585.423770852128,88774.4,69846.84717866656,16.0,24.596747752497688,14.2,25.043961347997644,14.2,25.043961347997644,1.8,0.4472135954999579,0.0,0.0,0.0,0.0,1.0,0.0
27000.0,1.614649678,1.7225473580869742E-7,27000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,1.0,27000.0,489832.0,5.0,19123.2,5890.198146072847,88774.4,69846.84717866656,16.0,24.596747752497688,14.2,25.043961347997644,14.2,25.043961347997644,1.8,0.4472135954999579,0.0,0.0,0.0,0.0,1.0,0.0
28000.0,1.681242644,1.8069338904932762E-7,28000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,1.0,28000.0,489832.0,5.0,19564.8,6194.392924250124,88774.4,69846.84717866656,16.0,24.596747752497688,14.2,25.043961347997644,14.2,25.043961347997644,1.8,0.4472135954999579,0.0,0.0,0.0,0.0,1.0,0.0
29000.0,1.748267403,1.8918675905086513E-7,29000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,1.0,29000.0,489832.0,5.0,20024.6,6520.442530994349,88774.4,69846.84717866656,16.0,24.596747752497688,14.2,25.043961347997644,14.2,25.043961347997644,1.8,0.4472135954999579,0.0,0.0,0.0,0.0,1.0,0.0
30000.0,1.815830706,1.9774837328815003E-7,30000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,1.0,30000.0,489832.0,5.0,20497.0,6831.249812442816,88774.4,69846.84717866656,16.0,24.596747752497688,14.2,25.043961347997644,14.2,25.043961347997644,1.8,0.4472135954999579,0.0,0.0,0.0,0.0,1.0,0.0
31000.0,1.881361254,2.0605239703805288E-7,31000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,1.0,31000.0,489832.0,5.0,20958.0,7144.440181007886,88774.4,69846.84717866656,16.0,24.596747752497688,14.2,25.043961347997644,14.2,25.043961347997644,1.8,0.4472135954999579,0.0,0.0,0.0,0.0,1.0,0.0
32000.0,1.943008131,2.138642824310354E-7,32000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,1.0,32000.0,489832.0,5.0,21407.4,7451.565224836994,88774.4,69846.84717866656,16.0,24.596747752497688,14.2,25.043961347997644,14.2,25.043961347997644,1.8,0.4472135954999579,0.0,0.0,0.0,0.0,1.0,0.0
33000.0,2.006262946,2.2187992554843633E-7,33000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,1.0,33000.0,489832.0,5.0,21878.6,7731.073101452346,88774.4,69846.84717866656,16.0,24.596747752497688,14.2,25.043961347997644,14.2,25.043961347997644,1.8,0.4472135954999579,0.0,0.0,0.0,0.0,1.0,0.0
34000.0,2.068691724,2.297908933491239E-7,34000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,1.0,34000.0,489832.0,5.0,22340.0,8008.525301202463,88774.4,69846.84717866656,16.0,24.596747752497688,14.2,25.043961347997644,14.2,25.043961347997644,1.8,0.4472135954999579,0.0,0.0,0.0,0.0,1.0,0.0
35000.0,2.132733788,2.3790629657219474E-7,35000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,1.0,35000.0,489832.0,5.0,22814.4,8293.355702006276,88774.4,69846.84717866656,16.0,24.596747752497688,14.2,25.043961347997644,14.2,25.043961347997644,1.8,0.4472135954999579,0.0,0.0,0.0,0.0,1.0,0.0
36000.0,2.195280318,2.4583296257315614E-7,36000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,1.0,36000.0,489880.0,5.0,23302.8,8589.67186218426,88784.0,69841.4943711831,16.0,24.596747752497688,14.2,25.043961347997644,14.2,25.043961347997644,1.8,0.4472135954999579,0.0,0.0,0.0,0.0,1.0,0.0
37000.0,2.258956703,2.539028177041063E-7,37000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,1.0,37000.0,489880.0,5.0,23778.4,8873.270580794886,88784.0,69841.4943711831,16.0,24.596747752497688,14.2,25.043961347997644,14.2,25.043961347997644,1.8,0.4472135954999579,0.0,0.0,0.0,0.0,1.0,0.0
38000.0,2.306981055,2.5998905459393225E-7,38000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,1.0,38000.0,489880.0,5.0,24247.8,9149.722848261581,88784.0,69841.4943711831,16.0,24.596747752497688,14.2,25.043961347997644,14.2,25.043961347997644,1.8,0.4472135954999579,0.0,0.0,0.0,0.0,1.0,0.0
39000.0,2.344701451,2.6476944737537034E-7,39000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,1.0,39000.0,489880.0,5.0,24750.0,9435.42436777488,88784.0,69841.4943711831,16.0,24.596747752497688,14.2,25.043961347997644,14.2,25.043961347997644,1.8,0.4472135954999579,0.0,0.0,0.0,0.0,1.0,0.0
