learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.09530417,6.3821611898847745E-9,1000.0,1.0,1.0,0.0,0.0,0.0,1.7976931348623157E308,?,0.0,-Infinity,1000.0,258856.0,10.0,552.5,159.21979915966622,18928.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.156125786,1.0455155657401514E-8,2000.0,1.0,1.0,0.0,0.0,0.0,1.7976931348623157E308,?,0.0,-Infinity,2000.0,258856.0,10.0,1091.0,301.465678901522,18928.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.216604533,1.4551250994985714E-8,3000.0,1.0,1.0,0.0,0.0,0.0,1.7976931348623157E308,?,0.0,-Infinity,3000.0,261800.0,10.0,1637.5,452.9476913630437,19222.399999999998,20.238577025077802,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.272975716,1.8369149865483242E-8,4000.0,1.0,1.0,0.0,0.0,0.0,1.7976931348623157E308,?,0.0,-Infinity,4000.0,261800.0,10.0,2186.0,629.9834212986174,19222.399999999998,20.238577025077802,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.329669909,2.22089255079151E-8,5000.0,1.0,1.0,0.0,0.0,0.0,1.7976931348623157E308,?,0.0,-Infinity,5000.0,261800.0,10.0,2735.7,793.0744745748801,19222.399999999998,20.238577025077802,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.38245408,2.5783883777658143E-8,6000.0,1.0,1.0,0.0,0.0,0.0,1.7976931348623157E308,?,0.0,-Infinity,6000.0,261800.0,10.0,3281.4,960.8811002870692,19222.399999999998,20.238577025077802,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.437787431,2.953149252100744E-8,7000.0,1.0,1.0,0.0,0.0,0.0,1.7976931348623157E308,?,0.0,-Infinity,7000.0,261800.0,10.0,3833.9,1091.0150676217895,19222.399999999998,20.238577025077802,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.601372902,5.0176385844614767E-8,8000.0,0.3015753938484621,0.06229220419238104,0.069,3.692130056959836E-5,0.0,3999.0,0.2622349934656881,0.06876719179794949,-3723.0000000004097,8000.0,487832.0,10.0,6987.699999999999,2305.413486653629,41799.2,10539.489475301923,3.2,1.1352924243950933,2.1000000000000005,0.5676462121975466,2.1000000000000005,0.5676462121975466,1.1,0.5676462121975466,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,0.670783804,5.893736354719019E-8,9000.0,0.379195376750389,0.15612457180770536,0.17244444444444446,9.248458341662141E-5,0.0,4499.0,0.41504277169208953,0.17226050233385196,-3722.9999999997895,9000.0,487896.0,10.0,7239.000000000002,2442.7264821642784,41805.6,10541.49695462862,3.2,1.1352924243950933,2.1000000000000005,0.5676462121975466,2.1000000000000005,0.5676462121975466,1.1,0.5676462121975466,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,0.740235919,6.770368685372587E-8,10000.0,0.4412882576515303,0.23118671185445105,0.2552,1.369307640467276E-4,0.0,4999.0,0.505025752018687,0.2550510102020404,-3723.00000000041,10000.0,487904.0,10.0,7565.9,2695.179295210865,41806.4,10541.392899738947,3.2,1.1352924243950933,2.1000000000000005,0.5676462121975466,2.1000000000000005,0.5676462121975466,1.1,0.5676462121975466,0.0,0.0,0.0,0.0,1.0,0.0
11000.0,0.807497005,7.619345603965636E-8,11000.0,0.5163032606521304,0.32186443219802474,0.3552,2.2017483742728958E-4,0.4412882576515303,4999.0,0.5958783552058596,0.3550710142028406,-3545.4000000001934,11000.0,487904.0,10.0,7768.9,2890.852871078399,41806.4,10541.392899738947,3.2,1.1352924243950933,2.1000000000000005,0.5676462121975466,2.1000000000000005,0.5676462121975466,1.1,0.5676462121975466,0.0,0.0,0.0,0.0,1.0,0.0
12000.0,0.868302992,8.386845544053862E-8,12000.0,0.5913182636527305,0.41254215254159843,0.4552,3.3395598386728363E-4,0.4412882576515303,4999.0,0.6746043419691581,0.45509101820364073,-3267.80000000036,12000.0,487904.0,10.0,7995.7,3112.684837885133,41806.4,10541.392899738947,3.2,1.1352924243950933,2.1000000000000005,0.5676462121975466,2.1000000000000005,0.5676462121975466,1.1,0.5676462121975466,0.0,0.0,0.0,0.0,1.0,0.0
13000.0,0.929873584,9.163996413608805E-8,13000.0,0.6663332666533307,0.5032198728851721,0.5552,4.98851742160937E-4,0.4412882576515303,4999.0,0.7450577307863069,0.5551110222044409,-2890.1999999996765,13000.0,487904.0,10.0,8243.199999999999,3342.528111740839,41806.4,10541.392899738947,3.2,1.1352924243950933,2.1000000000000005,0.5676462121975466,2.1000000000000005,0.5676462121975466,1.1,0.5676462121975466,0.0,0.0,0.0,0.0,1.0,0.0
14000.0,0.974734881,9.730240700701457E-8,14000.0,0.7413482696539307,0.5938975932287457,0.6552,7.592838388463073E-4,0.4412882576515303,4999.0,0.8094016470240476,0.655131026205241,-2412.600000000534,14000.0,487904.0,10.0,8508.3,3552.938503705223,41806.4,10541.392899738947,3.2,1.1352924243950933,2.1000000000000005,0.5676462121975466,2.1000000000000005,0.5676462121975466,1.1,0.5676462121975466,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,1.030771413,1.0437540048588894E-7,15000.0,0.8163632726545309,0.6845753135723203,0.7552,0.0012321400886162676,0.4412882576515303,4999.0,0.8689942636209064,0.7551510302060412,-1835.0000000002024,15000.0,487904.0,10.0,8805.599999999999,3754.63423873307,41806.4,10541.392899738947,3.2,1.1352924243950933,2.1000000000000005,0.5676462121975466,2.1000000000000005,0.5676462121975466,1.1,0.5676462121975466,0.0,0.0,0.0,0.0,1.0,0.0
16000.0,1.097498746,1.1279779877370015E-7,16000.0,0.8913782756551311,0.7752530339158968,0.8552,0.0023563131278338746,0.4412882576515303,4999.0,0.9247545805276346,0.8551710342068414,-1157.3999999996136,16000.0,487904.0,10.0,9124.3,3950.1964522174226,41806.4,10541.392899738947,3.2,1.1352924243950933,2.1000000000000005,0.5676462121975466,2.1000000000000005,0.5676462121975466,1.1,0.5676462121975466,0.0,0.0,0.0,0.0,1.0,0.0
17000.0,1.176489226,1.2276806513374463E-7,17000.0,0.9663932786557311,0.8659307542594722,0.9552,0.008454694347306314,0.4412882576515303,4999.0,0.9773387530470904,0.9551910382076415,-379.7999999999147,17000.0,487904.0,10.0,9481.9,4131.585126262747,41806.4,10541.392899738947,3.2,1.1352924243950933,2.1000000000000005,0.5676462121975466,2.1000000000000005,0.5676462121975466,1.1,0.5676462121975466,0.0,0.0,0.0,0.0,1.0,0.0
18000.0,1.256246151,1.3283507303530556E-7,18000.0,1.0,1.0,1.0,?,0.4412882576515303,1.7976931348623157E308,?,1.0,1.0,18000.0,487904.0,10.0,9871.699999999999,4274.2002773748345,41806.4,10541.392899738947,3.2,1.1352924243950933,2.1000000000000005,0.5676462121975466,2.1000000000000005,0.5676462121975466,1.1,0.5676462121975466,0.0,0.0,0.0,0.0,1.0,0.0
19000.0,1.336818432,1.4300499607927682E-7,19000.0,1.0,1.0,1.0,?,0.4412882576515303,1.7976931348623157E308,?,1.0,1.0,19000.0,487904.0,10.0,10291.5,4422.0779994628465,41806.4,10541.392899738947,3.2,1.1352924243950933,2.1000000000000005,0.5676462121975466,2.1000000000000005,0.5676462121975466,1.1,0.5676462121975466,0.0,0.0,0.0,0.0,1.0,0.0
20000.0,1.422055055,1.5376365756532797E-7,20000.0,1.0,1.0,1.0,?,0.4412882576515303,1.7976931348623157E308,?,1.0,1.0,20000.0,487904.0,10.0,10758.199999999999,4551.849191995125,41806.4,10541.392899738947,3.2,1.1352924243950933,2.1000000000000005,0.5676462121975466,2.1000000000000005,0.5676462121975466,1.1,0.5676462121975466,0.0,0.0,0.0,0.0,1.0,0.0
21000.0,1.502163257,1.6387500404105833E-7,21000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,1.0,21000.0,487904.0,10.0,11232.300000000001,4670.367390973292,41806.4,10541.392899738947,3.2,1.1352924243950933,2.1000000000000005,0.5676462121975466,2.1000000000000005,0.5676462121975466,1.1,0.5676462121975466,0.0,0.0,0.0,0.0,1.0,0.0
22000.0,1.573785881,1.7291529141094535E-7,22000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,1.0,22000.0,487904.0,10.0,11729.599999999999,4791.074808664775,41806.4,10541.392899738947,3.2,1.1352924243950933,2.1000000000000005,0.5676462121975466,2.1000000000000005,0.5676462121975466,1.1,0.5676462121975466,0.0,0.0,0.0,0.0,1.0,0.0
