learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
1000.0,0.02560228,1.3527485405405363E-10,1000.0,1.0,1.0,0.998,0.0,0.0,1.7976931348623157E308,?,0.998,-Infinity,1000.0,20424.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2000.0,0.04778209,2.534303644051155E-10,2000.0,1.0,1.0,0.999,0.0,0.0,1.7976931348623157E308,?,0.999,-Infinity,2000.0,20592.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,0.070168584,3.7542045630100703E-10,3000.0,1.0,1.0,0.9993333333333333,0.0,0.0,1.7976931348623157E308,?,0.9993333333333333,-Infinity,3000.0,21064.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4000.0,0.092924802,4.994252747876777E-10,4000.0,1.0,1.0,0.9995,0.0,0.0,1.7976931348623157E308,?,0.9995,-Infinity,4000.0,21064.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
5000.0,0.115401264,6.219056267746621E-10,5000.0,1.0,1.0,0.9996,0.0,0.0,1.7976931348623157E308,?,0.9996,-Infinity,5000.0,21064.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
6000.0,0.137836972,7.451389935985208E-10,6000.0,1.0,1.0,0.9996666666666667,0.0,0.0,1.7976931348623157E308,?,0.9996666666666667,-Infinity,6000.0,21232.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
7000.0,0.158621292,8.593017260937227E-10,7000.0,1.0,1.0,0.9997142857142857,0.0,0.0,1.7976931348623157E308,?,0.9997142857142857,-Infinity,7000.0,21232.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
8000.0,0.204540018,2.1433014799737265E-9,8000.0,0.7355588897224306,-0.24513836181430493,0.99875,-4.001600640815747E-4,0.0,3999.0,0.0,0.9989997499374844,-4.000000000000444,8000.0,108088.0,60.0,59.0,59.0,1.0,0.0,0.0,1.0
9000.0,0.252397037,4.690643958501103E-9,9000.0,0.7365803511891531,-0.24547878240347543,0.9981111111111111,-3.9231071008494575E-4,0.0,4499.0,0.0,0.9983329628806401,-7.49999999999975,9000.0,205752.0,60.0,59.0,59.0,1.0,0.0,0.0,1.0
10000.0,0.283986015,6.383051357681138E-9,10000.0,0.737247449489898,-0.24570110503039022,0.9983,-3.5306578793529905E-4,0.0,4999.0,0.0,0.998499699939988,-7.50000000000111,10000.0,207096.0,60.0,59.0,59.0,1.0,0.0,0.0,1.0
