learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
1000.0,0.015150744,7.418845325708389E-11,1000.0,1.0,1.0,0.998,0.0,0.0,1.7976931348623157E308,?,0.998,-Infinity,1000.0,18928.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2000.0,0.038344084,1.8775898289349343E-10,2000.0,1.0,1.0,0.999,0.0,0.0,1.7976931348623157E308,?,0.999,-Infinity,2000.0,18928.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,0.060790655,2.994381293406089E-10,3000.0,1.0,1.0,0.9993333333333333,0.0,0.0,1.7976931348623157E308,?,0.9993333333333333,-Infinity,3000.0,19232.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4000.0,0.083151491,4.106907156854868E-10,4000.0,1.0,1.0,0.9995,0.0,0.0,1.7976931348623157E308,?,0.9995,-Infinity,4000.0,19232.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
5000.0,0.104366105,5.162404668579499E-10,5000.0,1.0,1.0,0.9996,0.0,0.0,1.7976931348623157E308,?,0.9996,-Infinity,5000.0,19232.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
6000.0,0.126649151,6.271060221145551E-10,6000.0,1.0,1.0,0.9996666666666667,0.0,0.0,1.7976931348623157E308,?,0.9996666666666667,-Infinity,6000.0,19232.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
7000.0,0.147521136,7.309510802063677E-10,7000.0,1.0,1.0,0.9997142857142857,0.0,0.0,1.7976931348623157E308,?,0.9997142857142857,-Infinity,7000.0,19232.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
8000.0,0.19538577,1.9936806322592827E-9,8000.0,0.7346211552888222,-0.24480797169355428,0.99875,-4.001600640815747E-4,0.0,3999.0,0.0,0.9989997499374844,-4.000000000000444,8000.0,101976.0,60.0,59.0,59.0,1.0,0.0,0.0,1.0
9000.0,0.249102955,4.703087403097501E-9,9000.0,0.7357468326294733,-0.24518309672849536,0.9981111111111111,-3.9231071008494575E-4,0.0,4499.0,0.0,0.9983329628806401,-7.49999999999975,9000.0,194968.0,60.0,59.0,59.0,1.0,0.0,0.0,1.0
10000.0,0.285997093,6.5639672556333245E-9,10000.0,0.736497299459892,-0.24543318517375112,0.9983,-3.5306578793529905E-4,0.0,4999.0,0.0,0.998499699939988,-7.50000000000111,10000.0,194968.0,60.0,59.0,59.0,1.0,0.0,0.0,1.0
11000.0,0.321478583,8.353595458329137E-9,11000.0,0.7366473294658932,-0.2454831817484453,0.9985,-3.4678688608607016E-4,0.736497299459892,4999.0,0.0,0.9986997399479896,-7.250000000000153,11000.0,194968.0,60.0,59.0,59.0,1.0,0.0,0.0,1.0
12000.0,0.353594255,9.973457317561324E-9,12000.0,0.7366473294658932,-0.2454831817484453,0.9985,-3.4678688608607016E-4,0.736497299459892,4999.0,0.0,0.9986997399479896,-8.000000000000666,12000.0,194968.0,60.0,59.0,59.0,1.0,0.0,0.0,1.0
13000.0,0.385038451,1.155945102787887E-8,13000.0,0.7366473294658932,-0.2454831817484453,0.9985,-3.4678688608607016E-4,0.736497299459892,4999.0,0.0,0.9986997399479896,-8.749999999998558,13000.0,194968.0,60.0,59.0,59.0,1.0,0.0,0.0,1.0
14000.0,0.416491792,1.3145905997008085E-8,14000.0,0.7366473294658932,-0.2454831817484453,0.9985,-3.4678688608607016E-4,0.736497299459892,4999.0,0.0,0.9986997399479896,-9.500000000001943,14000.0,194968.0,60.0,59.0,59.0,1.0,0.0,0.0,1.0
15000.0,0.448647354,1.4767779842461976E-8,15000.0,0.7366473294658932,-0.2454831817484453,0.9985,-3.4678688608607016E-4,0.736497299459892,4999.0,0.0,0.9986997399479896,-10.250000000000833,15000.0,194968.0,60.0,59.0,59.0,1.0,0.0,0.0,1.0
16000.0,0.483792492,1.671093754197988E-8,16000.0,0.736497299459892,-0.24543318517375112,0.9983,-3.5306578793529905E-4,0.736497299459892,4999.0,0.0,0.998499699939988,-12.599999999995736,16000.0,213720.0,60.0,59.0,59.0,1.0,0.0,0.0,1.0
17000.0,0.515970192,1.849002702820632E-8,17000.0,0.736497299459892,-0.24543318517375112,0.9983,-3.5306578793529905E-4,0.736497299459892,4999.0,0.0,0.998499699939988,-13.449999999997075,17000.0,213720.0,60.0,59.0,59.0,1.0,0.0,0.0,1.0
18000.0,0.54825532,2.027505615664853E-8,18000.0,1.0,1.0,0.9991,0.0,0.736497299459892,1.7976931348623157E308,?,0.9991,-7.100000000003697,18000.0,213720.0,60.0,59.0,59.0,1.0,0.0,0.0,1.0
19000.0,0.579888964,2.2024065049497618E-8,19000.0,1.0,1.0,0.9998,0.0,0.736497299459892,1.7976931348623157E308,?,0.9998,-0.9000000000001055,19000.0,213720.0,60.0,59.0,59.0,1.0,0.0,0.0,1.0
20000.0,0.611461186,2.376967794964297E-8,20000.0,1.0,1.0,0.9998,0.0,0.736497299459892,1.7976931348623157E308,?,0.9998,-1.0,20000.0,213720.0,60.0,59.0,59.0,1.0,0.0,0.0,1.0
21000.0,0.647276418,2.5749884822662504E-8,21000.0,1.0,1.0,0.9998,0.0,1.0,1.7976931348623157E308,?,0.9998,-1.0999999999986012,21000.0,213720.0,60.0,59.0,59.0,1.0,0.0,0.0,1.0
22000.0,0.679473932,2.7530069815375737E-8,22000.0,1.0,1.0,0.9998,0.0,1.0,1.7976931348623157E308,?,0.9998,-1.1999999999985345,22000.0,213720.0,60.0,59.0,59.0,1.0,0.0,0.0,1.0
23000.0,0.71007034,2.9221730430929195E-8,23000.0,1.0,1.0,0.9998,0.0,1.0,1.7976931348623157E308,?,0.9998,-1.299999999998468,23000.0,213720.0,60.0,59.0,59.0,1.0,0.0,0.0,1.0
24000.0,0.741568398,3.096324283934716E-8,24000.0,1.0,1.0,0.9998,0.0,1.0,1.7976931348623157E308,?,0.9998,-1.4,24000.0,213720.0,60.0,59.0,59.0,1.0,0.0,0.0,1.0
25000.0,0.773845612,3.274783440655304E-8,25000.0,1.0,1.0,0.9998,0.0,1.0,1.7976931348623157E308,?,0.9998,-1.500000000000694,25000.0,213720.0,60.0,59.0,59.0,1.0,0.0,0.0,1.0
26000.0,0.805986663,3.452489758727658E-8,26000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,1.0,26000.0,213720.0,60.0,59.0,59.0,1.0,0.0,0.0,1.0
27000.0,0.836851375,3.623139260135798E-8,27000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,1.0,27000.0,213720.0,60.0,59.0,59.0,1.0,0.0,0.0,1.0
28000.0,0.867887852,3.7947384419300485E-8,28000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,1.0,28000.0,213720.0,60.0,59.0,59.0,1.0,0.0,0.0,1.0
29000.0,0.898649602,3.964818671414835E-8,29000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,1.0,29000.0,213720.0,60.0,59.0,59.0,1.0,0.0,0.0,1.0
30000.0,0.931803682,4.148125977883322E-8,30000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,1.0,30000.0,213720.0,60.0,59.0,59.0,1.0,0.0,0.0,1.0
31000.0,0.965439024,4.334094158697459E-8,31000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,1.0,31000.0,213720.0,60.0,59.0,59.0,1.0,0.0,0.0,1.0
