learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes)
1000.0,0.155621903,6.889205229716997E-10,1000.0,1.0,1.0,0.999,0.0,0.0,1.7976931348623157E308,?,0.999,-Infinity,1000.0,17112.0
2000.0,0.290982381,1.2881460143439472E-9,2000.0,1.0,1.0,0.9995,0.0,0.0,1.7976931348623157E308,?,0.9995,-Infinity,2000.0,17112.0
3000.0,0.381066146,1.6869366299236815E-9,3000.0,1.0,1.0,0.9996666666666667,0.0,0.0,1.7976931348623157E308,?,0.9996666666666667,-Infinity,3000.0,17112.0
4000.0,0.457950378,2.0272944092378022E-9,4000.0,1.0,1.0,0.99975,0.0,0.0,1.7976931348623157E308,?,0.99975,-Infinity,4000.0,17112.0
5000.0,0.478772,2.119469369451205E-9,5000.0,1.0,1.0,0.9998,0.0,0.0,1.7976931348623157E308,?,0.9998,-Infinity,5000.0,17112.0
6000.0,0.500180568,2.214242673069239E-9,6000.0,1.0,1.0,0.9998333333333334,0.0,0.0,1.7976931348623157E308,?,0.9998333333333334,-Infinity,6000.0,17112.0
7000.0,0.523103135,2.3157182786303264E-9,7000.0,1.0,1.0,0.9998571428571429,0.0,0.0,1.7976931348623157E308,?,0.9998571428571429,-Infinity,7000.0,17112.0
8000.0,0.54677341,2.420503902745744E-9,8000.0,1.0,1.0,0.999875,0.0,0.0,1.7976931348623157E308,?,0.999875,-Infinity,8000.0,17112.0
9000.0,0.564667763,2.4997201749371986E-9,9000.0,1.0,1.0,0.9998888888888889,0.0,0.0,1.7976931348623157E308,?,0.9998888888888889,-Infinity,9000.0,17112.0
10000.0,0.581665844,2.574968752587835E-9,10000.0,1.0,1.0,0.9999,0.0,0.0,1.7976931348623157E308,?,0.9999,-Infinity,10000.0,17112.0
11000.0,0.604598412,2.676488631442189E-9,11000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,11000.0,17112.0
12000.0,0.623707406,2.7610819816465178E-9,12000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,12000.0,17112.0
13000.0,0.646113151,2.860269674801578E-9,13000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,13000.0,17112.0
14000.0,0.667820037,2.9563635983876883E-9,14000.0,0.5,-0.5,0.9999,0.0,1.0,9999.0,0.0,1.0,-0.39999999999906743,14000.0,17112.0
15000.0,0.690806724,3.0581230559200046E-9,15000.0,0.7142857142857143,0.1428571428571429,0.9996,0.5998319294104408,1.0,1427.5714285714287,0.6546536707079771,1.0,0.14285714285714285,15000.0,17112.0
16000.0,0.711603809,3.1501893936159707E-9,16000.0,0.8571428571428571,0.5714285714285714,0.9996,0.8331386617720773,1.0,713.2857142857143,0.8451542547285166,1.0,0.5428571428571719,16000.0,17112.0
17000.0,0.731201036,3.2369440959642328E-9,17000.0,0.8571428571428571,0.5714285714285714,0.9996,0.8331386617720773,1.0,713.2857142857143,0.8451542547285166,1.0,0.5142857142857451,17000.0,17112.0
18000.0,0.753369992,3.3350835510591662E-9,18000.0,0.856992646848445,0.5712569025206717,0.9993,0.7403907490097483,1.0,713.2857142857143,0.8450272943229938,0.9996995794111756,0.0999999999999429,18000.0,17112.0
19000.0,0.774372065,3.428057347393284E-9,19000.0,0.856992646848445,0.5712569025206717,0.9993,0.7403907490097483,1.0,713.2857142857143,0.8450272943229938,0.9996995794111756,0.04999999999993973,19000.0,17112.0
20000.0,0.794103865,3.5154077891570825E-9,20000.0,0.856992646848445,0.5712569025206717,0.9993,0.7403907490097483,1.0,713.2857142857143,0.8450272943229938,0.9996995794111756,0.0,20000.0,17112.0
21000.0,0.816187082,3.61316768741856E-9,21000.0,0.856992646848445,0.5712569025206717,0.9993,0.7403907490097483,0.856992646848445,713.2857142857143,0.8450272943229938,0.9996995794111756,-0.049999999999991676,21000.0,17112.0
22000.0,0.835457873,3.6984772946002582E-9,22000.0,0.856992646848445,0.5712569025206717,0.9993,0.7403907490097483,0.856992646848445,713.2857142857143,0.8450272943229938,0.9996995794111756,-0.10000000000001745,22000.0,17112.0
23000.0,0.853738943,3.7794055191117025E-9,23000.0,0.856992646848445,0.5712569025206717,0.9993,0.7403907490097483,0.856992646848445,713.2857142857143,0.8450272943229938,0.9996995794111756,-0.1500000000000456,23000.0,17112.0
24000.0,0.871397381,3.857577422341952E-9,24000.0,0.8844651893615546,0.6536497446680685,0.9994,0.7689303787230766,0.856992646848445,768.2307692307693,0.8769262794611029,0.99969960949234,-0.028571428571423134,24000.0,17112.0
25000.0,0.890438913,3.9418721259199076E-9,25000.0,0.9373498799039232,0.8122560548438751,0.9996,0.777580071174399,0.856992646848445,1249.0,0.9352739116600364,0.9996997598078463,0.3333333333334567,25000.0,17112.0
26000.0,0.907379584,4.016866556008656E-9,26000.0,0.49984998499849986,-0.49984998499849986,0.9996,-1.5002250357418483E-4,0.856992646848445,9999.0,0.0,0.9996999699969997,0.3066666666666872,26000.0,17112.0
27000.0,0.928102977,4.1086066675744945E-9,27000.0,0.8331832883198292,0.499849954986496,0.9996,0.49981242966115225,0.856992646848445,3332.3333333333335,0.8163740604947349,0.9996999099729919,0.3647058823530283,27000.0,17112.0
28000.0,0.946137547,4.188443664529671E-9,28000.0,0.8333333333333334,0.5,0.9999,0.7999519884772598,0.856992646848445,3332.3333333333335,0.816496580927726,1.0,0.8352941176470631,28000.0,17112.0
29000.0,0.9593004,4.2467141225934026E-9,29000.0,0.875,0.625,0.9999,0.8570938607522384,0.856992646848445,2499.0,0.8660254037844386,1.0,0.8388888888888949,29000.0,17112.0
30000.0,0.971179912,4.299303375532229E-9,30000.0,0.875,0.625,0.9999,0.8570938607522384,0.856992646848445,2499.0,0.8660254037844386,1.0,0.8333333333333641,30000.0,17112.0
