learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
1000.0,0.01750911,9.363628973563513E-11,1000.0,1.0,1.0,0.998,0.0,0.0,1.7976931348623157E308,?,0.998,-Infinity,1000.0,20672.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2000.0,0.031344934,1.6822968456480238E-10,2000.0,1.0,1.0,0.999,0.0,0.0,1.7976931348623157E308,?,0.999,-Infinity,2000.0,20840.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,0.045845788,2.470387029233906E-10,3000.0,1.0,1.0,0.9993333333333333,0.0,0.0,1.7976931348623157E308,?,0.9993333333333333,-Infinity,3000.0,21008.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4000.0,0.06029567,3.255706994401084E-10,4000.0,1.0,1.0,0.9995,0.0,0.0,1.7976931348623157E308,?,0.9995,-Infinity,4000.0,21008.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
5000.0,0.074859261,4.047206798816721E-10,5000.0,1.0,1.0,0.9996,0.0,0.0,1.7976931348623157E308,?,0.9996,-Infinity,5000.0,21008.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
6000.0,0.089035883,4.823837075299687E-10,6000.0,1.0,1.0,0.9996666666666667,0.0,0.0,1.7976931348623157E308,?,0.9996666666666667,-Infinity,6000.0,21176.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
7000.0,0.103545925,5.618732920744353E-10,7000.0,1.0,1.0,0.9997142857142857,0.0,0.0,1.7976931348623157E308,?,0.9997142857142857,-Infinity,7000.0,21176.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
8000.0,0.118467966,6.436199086345733E-10,8000.0,1.0,1.0,0.99975,0.0,0.0,1.7976931348623157E308,?,0.99975,-Infinity,8000.0,21176.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
9000.0,0.132509675,7.205438496337998E-10,9000.0,1.0,1.0,0.9997777777777778,0.0,0.0,1.7976931348623157E308,?,0.9997777777777778,-Infinity,9000.0,21176.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
10000.0,0.146812967,7.989008067465492E-10,10000.0,1.0,1.0,0.9998,0.0,0.0,1.7976931348623157E308,?,0.9998,-Infinity,10000.0,21176.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
11000.0,0.164454847,8.963141178174152E-10,11000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,11000.0,21344.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
12000.0,0.177593203,9.688602840983206E-10,12000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,12000.0,21344.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
13000.0,0.190443367,1.0398151382886701E-9,13000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,13000.0,21344.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
14000.0,0.214212639,1.295864814279808E-9,14000.0,0.4957995799579958,-0.4957995799579958,0.9997,-1.3335111341161276E-4,1.0,9999.0,0.0,0.9997999799979999,-3.1999999999972024,14000.0,41640.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
15000.0,0.237928624,1.7082579810048143E-9,15000.0,0.7654000657603179,-0.19751197546242238,0.9989,-5.093502145885664E-4,1.0,1427.5714285714287,0.0,0.9995997198038628,-1.357142857143095,15000.0,67216.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
16000.0,0.259734128,2.0940640566042726E-9,16000.0,0.8283561271494377,-0.08686937398537076,0.9979,-9.342052582785112E-4,1.0,713.2857142857143,0.0,0.9992990186260765,-1.4000000000001016,16000.0,68392.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
17000.0,0.282874286,2.501329149434136E-9,17000.0,0.8084461102686619,-0.08254109598874726,0.9978,-0.0010192195689843915,1.0,713.2857142857143,0.0,0.9991988784298017,-1.6714285714286716,17000.0,68032.0,7.0,4.0,4.0,3.0,0.0,0.0,1.0
18000.0,0.306806543,3.0475992253153687E-9,18000.0,0.8056994077422678,-0.08206580990234835,0.9977,-0.0010968539443241688,1.0,713.2857142857143,0.0,0.9990987382335269,-1.9571428571428613,18000.0,88232.0,7.0,4.0,4.0,3.0,0.0,0.0,1.0
19000.0,0.327427633,3.52008211394358E-9,19000.0,0.8032567022402792,-0.08119767016967061,0.9977,-0.0010968539443241688,1.0,713.2857142857143,0.0,0.9990987382335269,-2.121428571428576,19000.0,88568.0,7.0,4.0,4.0,3.0,0.0,0.0,1.0
20000.0,0.349648678,4.031155669088992E-9,20000.0,0.8015578953391892,-0.08066713626322242,0.9977,-0.0010968539443241688,1.0,713.2857142857143,0.0,0.9990987382335269,-2.2857142857140818,20000.0,88904.0,7.0,4.0,4.0,3.0,0.0,0.0,1.0
21000.0,0.380369618,4.7390579854241675E-9,21000.0,0.7975773225372664,-0.07944845241116971,0.9977,-0.0010968539443241688,0.8015578953391892,713.2857142857143,0.0,0.9990987382335269,-2.4499999999997586,21000.0,89072.0,7.0,4.0,4.0,3.0,0.0,0.0,1.0
22000.0,0.410160794,5.430714862127271E-9,22000.0,0.7951918400045779,-0.07853617754074182,0.9977,-0.0010968539443241688,0.8015578953391892,713.2857142857143,0.0,0.9990987382335269,-2.6142857142855473,22000.0,89744.0,7.0,4.0,4.0,3.0,0.0,0.0,1.0
23000.0,0.440421227,6.1332664021021786E-9,23000.0,0.7937719950788247,-0.07804313603154645,0.9977,-0.0010968539443241688,0.8015578953391892,713.2857142857143,0.0,0.9990987382335269,-2.778571428571344,23000.0,89744.0,7.0,4.0,4.0,3.0,0.0,0.0,1.0
24000.0,0.469508635,6.809848200662268E-9,24000.0,0.8228851352912633,-0.05303832298193989,0.998,-9.108288542780275E-4,0.8015578953391892,768.2307692307693,0.0,0.9992990888154601,-2.4285714285711566,24000.0,89912.0,7.0,4.0,4.0,3.0,0.0,0.0,1.0
25000.0,0.498424763,7.498424585974878E-9,25000.0,0.9138310648518815,0.005379859754934491,0.9987,-6.157635468157623E-4,0.8015578953391892,1249.0,0.0,0.9994995996797438,-1.1666666666664507,25000.0,92048.0,7.0,4.0,4.0,3.0,0.0,0.0,1.0
26000.0,0.518462024,7.976440400255636E-9,26000.0,0.8931893189318932,0.0013235331302995368,0.9997,-1.3335111341161276E-4,0.8015578953391892,9999.0,0.0,0.9997999799979999,0.4800000000000154,26000.0,92216.0,7.0,4.0,4.0,3.0,0.0,0.0,1.0
27000.0,0.539016306,8.467683770414441E-9,27000.0,0.9467840352105632,0.0024304898402921493,0.9996,-1.5002250357418483E-4,0.8015578953391892,3332.3333333333335,0.0,0.9998999699909973,0.3647058823530283,27000.0,92384.0,7.0,4.0,4.0,3.0,0.0,0.0,1.0
28000.0,0.556868671,8.896679529568387E-9,28000.0,0.9413490713880831,0.0024164106650952366,0.9997,0.0,0.8015578953391892,3332.3333333333335,0.0,1.0,0.5058823529411893,28000.0,92888.0,7.0,4.0,4.0,3.0,0.0,0.0,1.0
29000.0,0.589307683,9.676262353182667E-9,29000.0,0.9471038415366146,0.0028235962259443026,0.9996,0.0,0.8015578953391892,2499.0,0.0,1.0,0.3555555555555794,29000.0,92896.0,7.0,4.0,4.0,3.0,0.0,0.0,1.0
30000.0,0.621297479,1.0445049500353634E-8,30000.0,0.9408013205282113,0.002803993377694325,0.9996,0.0,0.8015578953391892,2499.0,0.0,1.0,0.3333333333334567,30000.0,92896.0,7.0,4.0,4.0,3.0,0.0,0.0,1.0
31000.0,0.657056074,1.1304409411148065E-8,31000.0,0.946328531412565,0.0028160295441487238,0.9996,0.0,0.9408013205282113,2499.0,0.0,1.0,0.31111111111116635,31000.0,92896.0,7.0,4.0,4.0,3.0,0.0,0.0,1.0
32000.0,0.706000757,1.2954119258672E-8,32000.0,0.9980521862029483,0.8973547780556509,0.9986,0.9450294014173005,0.9408013205282113,72.52941176470588,0.9471318934179187,1.0,0.7013333333333397,32000.0,130288.0,7.0,4.0,4.0,3.0,0.0,0.0,1.0
33000.0,0.770208723,1.5232036907797058E-8,33000.0,0.9986238881015861,0.9312189766953896,0.9984,0.9587805642116358,0.9408013205282113,48.01960784313726,0.9649779248125127,0.999795835034708,0.7577981651376081,33000.0,137136.0,7.0,4.0,4.0,3.0,0.0,0.0,1.0
34000.0,0.809852872,1.6645391580027837E-8,34000.0,0.99869144268569,0.9312498181839718,0.9983,0.9563123063607216,0.9408013205282113,48.01960784313726,0.9649286598258915,0.999693752552062,0.7348623853210949,34000.0,137808.0,7.0,4.0,4.0,3.0,0.0,0.0,1.0
35000.0,0.839237776,1.6813423882139223E-8,35000.0,0.9989360370194756,0.9357727619124855,0.9983,0.9563120818166764,0.9408013205282113,48.26108374384236,0.9672530431173495,0.9995917117484945,0.7270642201834826,35000.0,22104.0,9.0,5.0,5.0,1.0,0.0,0.0,1.0
36000.0,0.857714819,1.6922293714191763E-8,36000.0,0.9989561497412247,0.935777238261961,0.9983,0.9563120818166764,0.9408013205282113,48.26108374384236,0.9672530431173495,0.9995917117484945,0.7192660550458675,36000.0,22776.0,9.0,5.0,5.0,1.0,0.0,0.0,1.0
37000.0,0.872713645,1.7011973058674484E-8,37000.0,0.9994704505841037,0.9450981576682583,0.9985,0.9612604506391006,0.9408013205282113,48.75124378109453,0.9720533763608875,0.9995917950811307,0.7454128440367057,37000.0,23112.0,9.0,5.0,5.0,1.0,0.0,0.0,1.0
38000.0,0.887460342,1.7100144900940358E-8,38000.0,0.9995364538670054,0.9451410274271532,0.9985,0.9612604506391006,0.9408013205282113,48.75124378109453,0.9720533763608875,0.9995917950811307,0.7385321100917522,38000.0,23112.0,9.0,5.0,5.0,1.0,0.0,0.0,1.0
39000.0,0.903613666,1.7196727093942463E-8,39000.0,0.9996872448979592,0.9499090933233082,0.9986,0.9637531068765545,0.9408013205282113,49.0,0.9744805000090865,0.9995918367346939,0.749541284403679,39000.0,23112.0,9.0,5.0,5.0,1.0,0.0,0.0,1.0
40000.0,0.918952405,1.7289772105123848E-8,40000.0,0.9997382653061224,0.9499593976064434,0.9986,0.9637531068765545,0.9408013205282113,49.0,0.9744805000090865,0.9995918367346939,0.7431192660550516,40000.0,23448.0,9.0,5.0,5.0,1.0,0.0,0.0,1.0
41000.0,0.936618449,1.7396934581877044E-8,41000.0,0.9997642857142857,0.9500448428337988,0.9986,0.9637531068765545,0.9997382653061224,49.0,0.9744805000090865,0.9995918367346939,0.7366972477064304,41000.0,23448.0,9.0,5.0,5.0,1.0,0.0,0.0,1.0
42000.0,0.952580613,1.7493761298066627E-8,42000.0,0.999798630688683,0.9995599203100844,0.9996,0.9712273271337847,0.9997382653061224,146.05882352941177,0.9997986104097994,0.999597261377366,0.9229357798165222,42000.0,23448.0,9.0,5.0,5.0,1.0,0.0,0.0,1.0
43000.0,0.970701572,1.7603683295746644E-8,43000.0,1.0,1.0,0.9998,0.0,0.9997382653061224,1.7976931348623157E308,?,0.9998,0.960550458715601,43000.0,23448.0,9.0,5.0,5.0,1.0,0.0,0.0,1.0
44000.0,0.988076147,1.77117746063446E-8,44000.0,0.4951495149514952,-0.4951495149514952,0.9997,-1.3335111341161276E-4,0.9997382653061224,9999.0,0.0,0.9997999799979999,0.9397260273972675,44000.0,24048.0,11.0,6.0,6.0,2.0,0.0,0.0,1.0
45000.0,1.008446851,1.7945843181779812E-8,45000.0,0.49434943494349437,-0.49434943494349437,0.9997,-1.3335111341161276E-4,0.9997382653061224,9999.0,0.0,0.9997999799979999,0.9383561643835687,45000.0,44416.0,11.0,6.0,6.0,2.0,0.0,0.0,1.0
46000.0,1.037019833,1.8277885123218098E-8,46000.0,0.49324932493249324,-0.49324932493249324,0.9997,-1.3335111341161276E-4,0.9997382653061224,9999.0,0.0,0.9997999799979999,0.9369863013698697,46000.0,44920.0,11.0,6.0,6.0,2.0,0.0,0.0,1.0
47000.0,1.075987829,1.8945492474709947E-8,47000.0,0.4894478895779156,-0.4894478895779156,0.9994,-2.6673779679047834E-4,0.9997382653061224,4999.0,0.0,0.9995999199839968,0.8718181818181715,47000.0,66224.0,13.0,7.0,7.0,3.0,0.0,0.0,1.0
48000.0,1.098962076,1.9343085782151253E-8,48000.0,0.4840968193638728,-0.4840968193638728,0.9994,-2.6673779679047834E-4,0.9997382653061224,4999.0,0.0,0.9995999199839968,0.8690909090909007,48000.0,66896.0,13.0,7.0,7.0,3.0,0.0,0.0,1.0
49000.0,1.118166358,1.9679609168685142E-8,49000.0,0.480996199239848,-0.480996199239848,0.9994,-2.6673779679047834E-4,0.9997382653061224,4999.0,0.0,0.9995999199839968,0.866363636363628,49000.0,67736.0,13.0,7.0,7.0,3.0,0.0,0.0,1.0
50000.0,1.138639614,2.004968244143658E-8,50000.0,0.7233893557422969,-0.23589950816005556,0.9992,-4.001600642315548E-4,0.9997382653061224,2499.0,0.0,0.9995998399359743,0.8198198198198147,50000.0,69872.0,13.0,7.0,7.0,3.0,0.0,0.0,1.0
51000.0,1.1674863,2.057236702866438E-8,51000.0,0.7163365346138455,-0.2335758108547319,0.9992,-4.001600642315548E-4,0.7233893557422969,2499.0,0.0,0.9995998399359743,0.8162162162162098,51000.0,70040.0,13.0,7.0,7.0,3.0,0.0,0.0,1.0
52000.0,1.199066789,2.1304389628705876E-8,52000.0,0.9796312666409058,0.9126823475967356,0.9992,0.9294222683330047,0.7233893557422969,174.43859649122808,0.9640801312264835,0.9995977069294981,0.8487272727272679,52000.0,89600.0,13.0,7.0,7.0,3.0,0.0,0.0,1.0
53000.0,1.227181373,2.1958517808752752E-8,53000.0,0.9940276743608836,0.9749170563890911,0.9992,0.9799838269321606,0.7233893557422969,48.01960784313726,0.9899453688973894,0.9995916700694161,0.8995260663507076,53000.0,89936.0,13.0,7.0,7.0,3.0,0.0,0.0,1.0
54000.0,1.254989845,2.2605523831649784E-8,54000.0,0.996637404332582,0.9820572038698805,0.9994,0.984915458688217,0.7233893557422969,48.26108374384236,0.9924313497923227,0.9996937838113709,0.9232227488151603,54000.0,89936.0,13.0,7.0,7.0,3.0,0.0,0.0,1.0
55000.0,1.282784026,2.3254613318720622E-8,55000.0,0.996697742497829,0.9821709741535237,0.9995,0.9873991554409957,0.7233893557422969,48.26108374384236,0.9924820137712103,0.9997958558742472,0.934834123222756,55000.0,90272.0,13.0,7.0,7.0,3.0,0.0,0.0,1.0
56000.0,1.300084388,2.3658636128269134E-8,56000.0,0.9966587740994403,0.9821594776658567,0.9995,0.9873991554409957,0.7233893557422969,48.26108374384236,0.9924820137712103,0.9997958558742472,0.9336492890995336,56000.0,90272.0,13.0,7.0,7.0,3.0,0.0,0.0,1.0
57000.0,1.365839752,2.6931953036259443E-8,57000.0,0.9936460259339359,0.9448121495658025,0.9985,0.9630897519434488,0.7233893557422969,46.39336492890995,0.9733858326585181,0.9995913780774338,0.8016241299304003,57000.0,192424.0,17.0,9.0,9.0,5.0,0.0,0.0,1.0
58000.0,1.408891751,2.9103158003129062E-8,58000.0,0.9935704986591488,0.9446886987983225,0.9985,0.9630897519434488,0.7233893557422969,46.39336492890995,0.9733858326585181,0.9995913780774338,0.7981438515081277,58000.0,194944.0,17.0,9.0,9.0,5.0,0.0,0.0,1.0
59000.0,1.457058135,3.1544852776233514E-8,59000.0,0.9935552479594322,0.9446643461553987,0.9985,0.9630897519434488,0.7233893557422969,46.39336492890995,0.9733858326585181,0.9995913780774338,0.7946635730858552,59000.0,195952.0,17.0,9.0,9.0,5.0,0.0,0.0,1.0
60000.0,1.489224287,3.31796430168425E-8,60000.0,0.9941077124338874,0.9535892317967589,0.9987,0.967859396231342,0.7233893557422969,46.84688995215311,0.9780321329866271,0.9995914615463181,0.8190255220417675,60000.0,196456.0,17.0,9.0,9.0,5.0,0.0,0.0,1.0
61000.0,1.520704818,3.352149706709509E-8,61000.0,0.9936514421907681,0.9488057662473001,0.9983,0.9583645599133975,0.9941077124338874,46.61904761904762,0.9755511188081589,0.9992849846782431,0.7599537037036974,61000.0,41976.0,21.0,11.0,11.0,1.0,0.0,0.0,1.0
62000.0,1.539467892,3.3727695864842584E-8,62000.0,0.9917675660739858,0.9320589263684844,0.9983,0.9444742759118947,0.9941077124338874,62.69426751592356,0.9672847896775277,0.9992888347048664,0.756018518518514,62000.0,42480.0,21.0,11.0,11.0,1.0,0.0,0.0,1.0
63000.0,1.567370692,3.404715666413928E-8,63000.0,0.8621212554719464,-0.06464089034830411,0.9978,-0.0010192195689843915,0.9941077124338874,713.2857142857143,0.0,0.9991988784298017,0.6821100917431204,63000.0,44256.0,23.0,12.0,12.0,2.0,0.0,0.0,1.0
64000.0,1.595337533,3.451592949035681E-8,64000.0,0.8445466510257217,-0.06330108127938916,0.9977,-0.0010968539443241688,0.9941077124338874,713.2857142857143,0.0,0.9990987382335269,0.662385321100922,64000.0,64792.0,23.0,12.0,12.0,2.0,0.0,0.0,1.0
65000.0,1.61282443,3.480980026484778E-8,65000.0,0.8443606763754972,-0.06328690340564413,0.9977,-0.0010968539443241688,0.9941077124338874,713.2857142857143,0.0,0.9990987382335269,0.6571100917431237,65000.0,64960.0,23.0,12.0,12.0,2.0,0.0,0.0,1.0
66000.0,1.629172701,3.508666777537722E-8,66000.0,0.8415925152356156,-0.06306000900101694,0.9977,-0.0010968539443241688,0.9941077124338874,713.2857142857143,0.0,0.9990987382335269,0.6518348623853263,66000.0,65464.0,23.0,12.0,12.0,2.0,0.0,0.0,1.0
67000.0,1.644870332,3.5353198563827E-8,67000.0,0.8217108554277138,-0.09010859281049732,0.999,-5.002501252436231E-4,0.9941077124338874,1999.0,0.0,0.9994997498749375,0.8463302752293588,67000.0,65632.0,23.0,12.0,12.0,2.0,0.0,0.0,1.0
68000.0,1.660812342,3.5625264408751916E-8,68000.0,0.8314457228614307,-0.09114826748717997,0.999,-5.002501252436231E-4,0.9941077124338874,1999.0,0.0,0.9994997498749375,0.8440366972477059,68000.0,65968.0,23.0,12.0,12.0,2.0,0.0,0.0,1.0
69000.0,1.682092258,3.6000185747401174E-8,69000.0,0.8443052994238824,-0.06276078847081623,0.9988,-5.836738096928288E-4,0.9941077124338874,1427.5714285714287,0.0,0.9994996497548284,0.8109589041095917,69000.0,68104.0,23.0,12.0,12.0,2.0,0.0,0.0,1.0
70000.0,1.698421818,3.628788897399067E-8,70000.0,0.8449414590213149,-0.0628095320842581,0.9988,-5.836738096928288E-4,0.9941077124338874,1427.5714285714287,0.0,0.9994996497548284,0.8082191780821949,70000.0,68104.0,23.0,12.0,12.0,2.0,0.0,0.0,1.0
71000.0,1.717275311,3.662087965442282E-8,71000.0,0.8529184715014796,-0.06304640779478032,0.9991,-3.112079314394306E-4,0.8449414590213149,1427.5714285714287,0.0,0.9997998599019313,0.8544419134396339,71000.0,68272.0,23.0,12.0,12.0,2.0,0.0,0.0,1.0
72000.0,1.735250969,3.69399285057539E-8,72000.0,0.8382296178753699,-0.0617072013950658,0.9991,-3.112079314394306E-4,0.8449414590213149,1427.5714285714287,0.0,0.9997998599019313,0.8523917995444166,72000.0,68608.0,23.0,12.0,12.0,2.0,0.0,0.0,1.0
73000.0,1.753656797,3.7267412366976764E-8,73000.0,0.9059051048647928,0.004285398676882268,0.9996,-1.5002250357418483E-4,0.8449414590213149,3332.3333333333335,0.0,0.9998999699909973,0.9334851936218754,73000.0,68776.0,23.0,12.0,12.0,2.0,0.0,0.0,1.0
