learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes)
1000.0,0.154951603,6.859531808582444E-10,1000.0,1.0,1.0,0.999,0.0,0.0,1.7976931348623157E308,?,0.999,-Infinity,1000.0,17112.0
2000.0,0.27755136,1.2286884069442748E-9,2000.0,1.0,1.0,0.9995,0.0,0.0,1.7976931348623157E308,?,0.9995,-Infinity,2000.0,17112.0
3000.0,0.361342868,1.5996239140878122E-9,3000.0,1.0,1.0,0.9996666666666667,0.0,0.0,1.7976931348623157E308,?,0.9996666666666667,-Infinity,3000.0,17112.0
4000.0,0.397189201,1.7583115666670104E-9,4000.0,1.0,1.0,0.99975,0.0,0.0,1.7976931348623157E308,?,0.99975,-Infinity,4000.0,17112.0
5000.0,0.420999649,1.863717720763137E-9,5000.0,1.0,1.0,0.9998,0.0,0.0,1.7976931348623157E308,?,0.9998,-Infinity,5000.0,17112.0
6000.0,0.443750423,1.9644328181880217E-9,6000.0,1.0,1.0,0.9998333333333334,0.0,0.0,1.7976931348623157E308,?,0.9998333333333334,-Infinity,6000.0,17112.0
7000.0,0.467974785,2.0716713226400315E-9,7000.0,1.0,1.0,0.9998571428571429,0.0,0.0,1.7976931348623157E308,?,0.9998571428571429,-Infinity,7000.0,17112.0
8000.0,0.485100658,2.147485620987912E-9,8000.0,1.0,1.0,0.999875,0.0,0.0,1.7976931348623157E308,?,0.999875,-Infinity,8000.0,17112.0
9000.0,0.502674521,2.2252831202807528E-9,9000.0,1.0,1.0,0.9998888888888889,0.0,0.0,1.7976931348623157E308,?,0.9998888888888889,-Infinity,9000.0,17112.0
10000.0,0.519806772,2.3011256533116103E-9,10000.0,1.0,1.0,0.9999,0.0,0.0,1.7976931348623157E308,?,0.9999,-Infinity,10000.0,17112.0
11000.0,0.543536415,2.406174092832953E-9,11000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,11000.0,17112.0
12000.0,0.563216225,2.4932943807604415E-9,12000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,12000.0,17112.0
13000.0,0.585417865,2.5915785242182517E-9,13000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,13000.0,17112.0
14000.0,0.605959791,2.682515301946551E-9,14000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,14000.0,17112.0
15000.0,0.625939435,2.770962921002259E-9,15000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,15000.0,17112.0
16000.0,0.64359851,2.849137644159297E-9,16000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,16000.0,17112.0
17000.0,0.661224888,2.9271676214039328E-9,17000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,17000.0,17112.0
18000.0,0.679423318,3.0077300080036126E-9,18000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,18000.0,17112.0
19000.0,0.697865886,3.0893731658533216E-9,19000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,19000.0,17112.0
20000.0,0.715350469,3.166775432707121E-9,20000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,20000.0,17112.0
21000.0,0.735162723,3.254482035208493E-9,21000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,21000.0,17112.0
22000.0,0.751825375,3.32824570670103E-9,22000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,22000.0,17112.0
23000.0,0.767280078,3.396661924906075E-9,23000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,23000.0,17112.0
