learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.080338058,5.379937056671414E-9,1000.0,1.0,1.0,0.0,0.0,0.0,1.7976931348623157E308,?,0.0,-Infinity,1000.0,258856.0,10.0,552.5,159.21979915966622,18928.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.136318451,9.12873306002675E-9,2000.0,1.0,1.0,0.0,0.0,0.0,1.7976931348623157E308,?,0.0,-Infinity,2000.0,258856.0,10.0,1091.0,301.465678901522,18928.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.191795708,1.284383594111436E-8,3000.0,1.0,1.0,0.0,0.0,0.0,1.7976931348623157E308,?,0.0,-Infinity,3000.0,258856.0,10.0,1637.5,452.9476913630437,18928.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.247318994,1.6562021210909718E-8,4000.0,1.0,1.0,0.0,0.0,0.0,1.7976931348623157E308,?,0.0,-Infinity,4000.0,258856.0,10.0,2186.0,629.9834212986174,18928.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.303552089,2.0327739715106373E-8,5000.0,1.0,1.0,0.0,0.0,0.0,1.7976931348623157E308,?,0.0,-Infinity,5000.0,258856.0,10.0,2735.7,793.0744745748801,18928.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.361500665,2.4208337518500372E-8,6000.0,1.0,1.0,0.0,0.0,0.0,1.7976931348623157E308,?,0.0,-Infinity,6000.0,258856.0,10.0,3281.4,960.8811002870692,18928.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.416656074,2.790188745164623E-8,7000.0,1.0,1.0,0.0,0.0,0.0,1.7976931348623157E308,?,0.0,-Infinity,7000.0,258856.0,10.0,3833.9,1091.0150676217895,18928.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.472028697,3.160998338798061E-8,8000.0,1.0,1.0,0.0,0.0,0.0,1.7976931348623157E308,?,0.0,-Infinity,8000.0,258856.0,10.0,4375.9,1261.5567499456113,18928.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,0.528095094,3.536453875518094E-8,9000.0,1.0,1.0,0.0,0.0,0.0,1.7976931348623157E308,?,0.0,-Infinity,9000.0,258856.0,10.0,4926.700000000001,1411.7178699883505,18928.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,0.581899603,3.89676240050772E-8,10000.0,1.0,1.0,0.0,0.0,0.0,1.7976931348623157E308,?,0.0,-Infinity,10000.0,258856.0,10.0,5486.599999999999,1565.2584593109355,18928.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
11000.0,0.642208787,4.3006302832230516E-8,11000.0,1.0,1.0,0.0,0.0,1.0,1.7976931348623157E308,?,0.0,-Infinity,11000.0,258856.0,10.0,6022.200000000001,1719.5982605765155,18928.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
12000.0,0.70158159,4.6982275751791896E-8,12000.0,1.0,1.0,0.0,0.0,1.0,1.7976931348623157E308,?,0.0,-Infinity,12000.0,258856.0,10.0,6581.300000000001,1885.084970086082,18928.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
13000.0,0.761688992,5.100744199865394E-8,13000.0,1.0,1.0,0.0,0.0,1.0,1.7976931348623157E308,?,0.0,-Infinity,13000.0,258856.0,10.0,7141.299999999999,2040.6141259706874,18928.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
14000.0,0.816224714,5.465949382818821E-8,14000.0,1.0,1.0,0.0,0.0,1.0,1.7976931348623157E308,?,0.0,-Infinity,14000.0,258856.0,10.0,7686.6,2190.42193804451,18928.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,0.87163024,5.8369793154464825E-8,15000.0,1.0,1.0,0.0,0.0,1.0,1.7976931348623157E308,?,0.0,-Infinity,15000.0,258856.0,10.0,8247.7,2338.5869926565106,18928.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
16000.0,0.929390396,6.22377731803639E-8,16000.0,1.0,1.0,0.0,0.0,1.0,1.7976931348623157E308,?,0.0,-Infinity,16000.0,258856.0,10.0,8791.5,2491.776084554059,18928.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
17000.0,0.985427473,6.599036509763242E-8,17000.0,1.0,1.0,0.0,0.0,1.0,1.7976931348623157E308,?,0.0,-Infinity,17000.0,258856.0,10.0,9344.7,2654.8994561418367,18928.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
18000.0,1.042718601,6.982693608551596E-8,18000.0,1.0,1.0,0.0,0.0,1.0,1.7976931348623157E308,?,0.0,-Infinity,18000.0,258856.0,10.0,9895.199999999999,2817.6369453063953,18928.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
19000.0,1.103285366,7.388286414175811E-8,19000.0,1.0,1.0,0.0,0.0,1.0,1.7976931348623157E308,?,0.0,-Infinity,19000.0,258856.0,10.0,10440.400000000001,2978.286539457061,18928.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
20000.0,1.156895104,7.747290631161795E-8,20000.0,1.0,1.0,0.0,0.0,1.0,1.7976931348623157E308,?,0.0,-Infinity,20000.0,258856.0,10.0,11003.199999999999,3145.994871790692,18928.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
21000.0,1.208867599,8.09533084863652E-8,21000.0,1.0,1.0,0.0,0.0,1.0,1.7976931348623157E308,?,0.0,-Infinity,21000.0,258856.0,10.0,11538.7,3301.3779968034223,18928.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
22000.0,1.265485044,8.474476546195646E-8,22000.0,1.0,1.0,0.0,0.0,1.0,1.7976931348623157E308,?,0.0,-Infinity,22000.0,258856.0,10.0,12082.2,3454.076458009836,18928.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
