learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
1000.0,0.025434522,1.2454489670693874E-10,1000.0,1.0,1.0,0.998,0.0,0.0,1.7976931348623157E308,?,0.998,-Infinity,1000.0,18928.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2000.0,0.046938941,2.2984530860765114E-10,2000.0,1.0,1.0,0.999,0.0,0.0,1.7976931348623157E308,?,0.999,-Infinity,2000.0,18928.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,0.067959794,3.3277784909639095E-10,3000.0,1.0,1.0,0.9993333333333333,0.0,0.0,1.7976931348623157E308,?,0.9993333333333333,-Infinity,3000.0,18928.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4000.0,0.089404786,4.3778726557062735E-10,4000.0,1.0,1.0,0.9995,0.0,0.0,1.7976931348623157E308,?,0.9995,-Infinity,4000.0,18928.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
5000.0,0.109401308,5.357039776278867E-10,5000.0,1.0,1.0,0.9996,0.0,0.0,1.7976931348623157E308,?,0.9996,-Infinity,5000.0,18928.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
6000.0,0.129709276,6.351457433071401E-10,6000.0,1.0,1.0,0.9996666666666667,0.0,0.0,1.7976931348623157E308,?,0.9996666666666667,-Infinity,6000.0,18928.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
7000.0,0.149409347,7.31610827566021E-10,7000.0,1.0,1.0,0.9997142857142857,0.0,0.0,1.7976931348623157E308,?,0.9997142857142857,-Infinity,7000.0,18928.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
8000.0,0.169333974,8.291754923015833E-10,8000.0,1.0,1.0,0.99975,0.0,0.0,1.7976931348623157E308,?,0.99975,-Infinity,8000.0,18928.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
9000.0,0.189342553,9.271512437156505E-10,9000.0,1.0,1.0,0.9997777777777778,0.0,0.0,1.7976931348623157E308,?,0.9997777777777778,-Infinity,9000.0,18928.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
10000.0,0.209293628,1.0248454160326057E-9,10000.0,1.0,1.0,0.9998,0.0,0.0,1.7976931348623157E308,?,0.9998,-Infinity,10000.0,18928.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
11000.0,0.23334125,1.1425990973495775E-9,11000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,11000.0,18928.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
