learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes)
1000.0,0.788365706,5.263806263630382E-7,1000.0,1.0,1.0,0.999,0.0,0.0,1.7976931348623157E308,?,0.999,-Infinity,1000.0,2580920.0
2000.0,2.449004471,1.6351656313813084E-6,2000.0,1.0,1.0,0.9995,0.0,0.0,1.7976931348623157E308,?,0.9995,-Infinity,2000.0,2580920.0
3000.0,4.225146365,2.821070441240393E-6,3000.0,1.0,1.0,0.9996666666666667,0.0,0.0,1.7976931348623157E308,?,0.9996666666666667,-Infinity,3000.0,2580920.0
4000.0,5.840847129,3.899850978872708E-6,4000.0,1.0,1.0,0.99975,0.0,0.0,1.7976931348623157E308,?,0.99975,-Infinity,4000.0,2580920.0
5000.0,7.206974763,4.811995069113964E-6,5000.0,1.0,1.0,0.9998,0.0,0.0,1.7976931348623157E308,?,0.9998,-Infinity,5000.0,2580920.0
6000.0,8.737601976,5.833973200551421E-6,6000.0,1.0,1.0,0.9998333333333334,0.0,0.0,1.7976931348623157E308,?,0.9998333333333334,-Infinity,6000.0,2580920.0
7000.0,10.54819144,7.042878165459468E-6,7000.0,1.0,1.0,0.9998571428571429,0.0,0.0,1.7976931348623157E308,?,0.9998571428571429,-Infinity,7000.0,2580920.0
8000.0,11.997341797,8.01045535305961E-6,8000.0,1.0,1.0,0.999875,0.0,0.0,1.7976931348623157E308,?,0.999875,-Infinity,8000.0,2580920.0
9000.0,14.076124562,9.398429190056254E-6,9000.0,1.0,1.0,0.9998888888888889,0.0,0.0,1.7976931348623157E308,?,0.9998888888888889,-Infinity,9000.0,2580920.0
10000.0,15.72270585,1.0497828216597749E-5,10000.0,1.0,1.0,0.9999,0.0,0.0,1.7976931348623157E308,?,0.9999,-Infinity,10000.0,2580920.0
11000.0,17.563346552,1.172679796788734E-5,11000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,11000.0,2580920.0
12000.0,19.145973981,1.2783495907734491E-5,12000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,12000.0,2580920.0
13000.0,20.871083171,1.3935326903255792E-5,13000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,13000.0,2580920.0
14000.0,22.493393924,1.5018520837010735E-5,14000.0,0.5,-0.5,0.9999,0.0,1.0,9999.0,0.0,1.0,-0.39999999999906743,14000.0,2580920.0
15000.0,24.066591724,1.606892274700573E-5,15000.0,0.8552844133750769,-0.0863223303931816,0.9993,0.0,1.0,1427.5714285714287,0.0,1.0,-0.5000000000002379,15000.0,2580920.0
16000.0,25.706432301,1.716382109619494E-5,16000.0,0.9267975165231324,0.07062554242606034,0.9986,0.0,1.0,713.2857142857143,0.0,1.0,-0.6000000000000254,16000.0,2580920.0
17000.0,27.688103092,1.8486954642305733E-5,17000.0,0.9267975165231324,0.07062554242606034,0.9986,0.0,1.0,713.2857142857143,0.0,1.0,-0.7000000000000269,17000.0,2580920.0
18000.0,29.821488486,1.9911385882047503E-5,18000.0,0.9267975165231324,0.07062554242606034,0.9986,0.0,1.0,713.2857142857143,0.0,1.0,-0.7999999999999714,18000.0,2580920.0
19000.0,31.295507232,2.0895567341090244E-5,19000.0,0.9267975165231324,0.07062554242606034,0.9986,0.0,1.0,713.2857142857143,0.0,1.0,-0.8999999999999698,19000.0,2580920.0
20000.0,32.833292329,2.1922324690389004E-5,20000.0,0.9267975165231324,0.07062554242606034,0.9986,0.0,1.0,713.2857142857143,0.0,1.0,-0.9999999999998413,20000.0,2580920.0
21000.0,34.271816576,2.2882806974703737E-5,21000.0,0.9267975165231324,0.07062554242606034,0.9986,0.0,0.9267975165231324,713.2857142857143,0.0,1.0,-1.099999999999817,21000.0,2580920.0
22000.0,35.727156624,2.3854516931399208E-5,22000.0,0.9267975165231324,0.07062554242606034,0.9986,0.0,0.9267975165231324,713.2857142857143,0.0,1.0,-1.1999999999998605,22000.0,2580920.0
