learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
1000.0,0.016923113,8.39529390571018E-11,1000.0,1.0,1.0,0.998,0.0,0.0,1.7976931348623157E308,?,0.998,-Infinity,1000.0,19176.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2000.0,0.029905644,1.4835726194083692E-10,2000.0,1.0,1.0,0.999,0.0,0.0,1.7976931348623157E308,?,0.999,-Infinity,2000.0,19176.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,0.043305455,2.1483164619033535E-10,3000.0,1.0,1.0,0.9993333333333333,0.0,0.0,1.7976931348623157E308,?,0.9993333333333333,-Infinity,3000.0,19176.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4000.0,0.056580079,2.8068499714757007E-10,4000.0,1.0,1.0,0.9995,0.0,0.0,1.7976931348623157E308,?,0.9995,-Infinity,4000.0,19176.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
5000.0,0.06991693,3.4684704660127563E-10,5000.0,1.0,1.0,0.9996,0.0,0.0,1.7976931348623157E308,?,0.9996,-Infinity,5000.0,19176.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
6000.0,0.083207643,4.127802125923336E-10,6000.0,1.0,1.0,0.9996666666666667,0.0,0.0,1.7976931348623157E308,?,0.9996666666666667,-Infinity,6000.0,19176.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
7000.0,0.096428556,4.78367111608386E-10,7000.0,1.0,1.0,0.9997142857142857,0.0,0.0,1.7976931348623157E308,?,0.9997142857142857,-Infinity,7000.0,19176.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
8000.0,0.110150569,5.464398900109032E-10,8000.0,1.0,1.0,0.99975,0.0,0.0,1.7976931348623157E308,?,0.99975,-Infinity,8000.0,19176.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
9000.0,0.122862805,6.095033213185767E-10,9000.0,1.0,1.0,0.9997777777777778,0.0,0.0,1.7976931348623157E308,?,0.9997777777777778,-Infinity,9000.0,19176.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
10000.0,0.13526318,6.710196585704882E-10,10000.0,1.0,1.0,0.9998,0.0,0.0,1.7976931348623157E308,?,0.9998,-Infinity,10000.0,19176.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
11000.0,0.150293693,7.455837025431295E-10,11000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,11000.0,19176.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
12000.0,0.163478725,8.109926014828186E-10,12000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,12000.0,19176.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
13000.0,0.177100154,8.785663982604941E-10,13000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,13000.0,19176.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
14000.0,0.198039174,1.0862301889765593E-9,14000.0,0.4977497749774977,-0.4977497749774977,0.9997,-1.3335111341161276E-4,1.0,9999.0,0.0,0.9997999799979999,-3.1999999999972024,14000.0,38336.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
15000.0,0.226931438,1.5319465531946884E-9,15000.0,0.8418607310831868,-0.09773054015744331,0.9989,-5.093502145885664E-4,1.0,1427.5714285714287,0.0,0.9995997198038628,-1.357142857143095,15000.0,59632.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
16000.0,0.243854569,1.7930170051505168E-9,16000.0,0.9101742439415181,-0.006835111248280179,0.9982,-6.226096238702635E-4,1.0,713.2857142857143,0.0,0.9995994392149009,-1.0571428571429804,16000.0,59632.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
17000.0,0.260581706,2.0510638888221646E-9,17000.0,0.9091156190094704,-0.006583250979837918,0.9982,-6.226096238702635E-4,1.0,713.2857142857143,0.0,0.9995994392149009,-1.1857142857144167,17000.0,59632.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
18000.0,0.278081343,2.321028007202678E-9,18000.0,0.9086006122857715,-0.006476525905159125,0.9982,-6.226096238702635E-4,1.0,713.2857142857143,0.0,0.9995994392149009,-1.3142857142857796,18000.0,59632.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
