learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes)
1000.0,0.155682198,1.7186511149667205E-8,1000.0,1.0,1.0,0.998,0.0,0.0,1.7976931348623157E308,?,0.998,-Infinity,1000.0,426728.0
2000.0,0.285770863,3.1886860979064884E-8,2000.0,1.0,1.0,0.999,0.0,0.0,1.7976931348623157E308,?,0.999,-Infinity,2000.0,436808.0
3000.0,0.419734725,4.7374455913001045E-8,3000.0,1.0,1.0,0.9993333333333333,0.0,0.0,1.7976931348623157E308,?,0.9993333333333333,-Infinity,3000.0,446888.0
4000.0,0.559170708,6.349468409751853E-8,4000.0,1.0,1.0,0.9995,0.0,0.0,1.7976931348623157E308,?,0.9995,-Infinity,4000.0,446888.0
5000.0,0.652607651,7.429695198861055E-8,5000.0,1.0,1.0,0.9996,0.0,0.0,1.7976931348623157E308,?,0.9996,-Infinity,5000.0,446888.0
6000.0,0.747979443,8.557160957505928E-8,6000.0,1.0,1.0,0.9996666666666667,0.0,0.0,1.7976931348623157E308,?,0.9996666666666667,-Infinity,6000.0,456968.0
7000.0,0.846226332,9.718615523032846E-8,7000.0,1.0,1.0,0.9997142857142857,0.0,0.0,1.7976931348623157E308,?,0.9997142857142857,-Infinity,7000.0,456968.0
8000.0,1.001923551,1.2370293683016673E-7,8000.0,0.7425918979744937,-0.24737818048877824,0.999375,-3.000900269611962E-4,0.0,3999.0,0.0,0.9996249062265566,-1.500000000000222,8000.0,658328.0
9000.0,1.143223835,1.4776777751831753E-7,9000.0,0.7399144254278729,-0.24649296117658615,0.9994444444444445,-2.6673779682753713E-4,0.0,4499.0,0.0,0.999666592576128,-1.4999999999997502,9000.0,658328.0
10000.0,1.25634546,1.6703351292200388E-7,10000.0,0.7346969393878776,-0.24380998561001654,0.9995,-2.4005761370095893E-4,0.0,4999.0,0.0,0.9996999399879976,-1.5,10000.0,658328.0
11000.0,1.388669581,1.8993440383358756E-7,11000.0,0.7322214442888578,-0.2428851089757108,0.9997,-1.3335111341161276E-4,0.7346969393878776,4999.0,0.0,0.9998999799959992,-0.6499999999999084,11000.0,668984.0
12000.0,1.531371681,2.1463137669278308E-7,12000.0,0.7322214442888578,-0.2428851089757108,0.9997,-1.3335111341161276E-4,0.7346969393878776,4999.0,0.0,0.9998999799959992,-0.8,12000.0,668984.0
13000.0,1.656560778,2.3629743297980477E-7,13000.0,0.7322214442888578,-0.2428851089757108,0.9997,-1.3335111341161276E-4,0.7346969393878776,4999.0,0.0,0.9998999799959992,-0.949999999999567,13000.0,668984.0
14000.0,1.804599242,2.619179524222306E-7,14000.0,0.7321464292858572,-0.2428101079932059,0.9997,-1.3335111341161276E-4,0.7346969393878776,4999.0,0.0,0.9998999799959992,-1.1000000000002332,14000.0,668984.0
15000.0,1.94235529,2.857589286842901E-7,15000.0,0.7321464292858572,-0.2428101079932059,0.9997,-1.3335111341161276E-4,0.7346969393878776,4999.0,0.0,0.9998999799959992,-1.25,15000.0,668984.0
16000.0,2.051317489,3.04616650269195E-7,16000.0,0.7321464292858572,-0.2428101079932059,0.9997,-1.3335111341161276E-4,0.7346969393878776,4999.0,0.0,0.9998999799959992,-1.399999999998934,16000.0,668984.0
17000.0,2.201529873,3.30613402739993E-7,17000.0,0.7321464292858572,-0.2428101079932059,0.9997,-1.3335111341161276E-4,0.7346969393878776,4999.0,0.0,0.9998999799959992,-1.5499999999991507,17000.0,668984.0
18000.0,2.343327081,3.5515376898187526E-7,18000.0,1.0,1.0,1.0,?,0.7346969393878776,1.7976931348623157E308,?,1.0,1.0,18000.0,668984.0
19000.0,2.500149498,3.8229449764923506E-7,19000.0,1.0,1.0,1.0,?,0.7346969393878776,1.7976931348623157E308,?,1.0,1.0,19000.0,668984.0
