learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes)
1000.0,0.036178996,1.526801758830746E-9,1000.0,1.0,1.0,0.998,0.0,0.0,1.7976931348623157E308,?,0.998,-Infinity,1000.0,163128.0
2000.0,0.068614339,2.9238102970210213E-9,2000.0,1.0,1.0,0.999,0.0,0.0,1.7976931348623157E308,?,0.999,-Infinity,2000.0,166488.0
3000.0,0.099379841,4.275640273199727E-9,3000.0,1.0,1.0,0.9993333333333333,0.0,0.0,1.7976931348623157E308,?,0.9993333333333333,-Infinity,3000.0,169848.0
4000.0,0.130496233,5.642888285474231E-9,4000.0,1.0,1.0,0.9995,0.0,0.0,1.7976931348623157E308,?,0.9995,-Infinity,4000.0,169848.0
5000.0,0.1622403,7.037716211130222E-9,5000.0,1.0,1.0,0.9996,0.0,0.0,1.7976931348623157E308,?,0.9996,-Infinity,5000.0,169848.0
6000.0,0.208885798,9.127855892392495E-9,6000.0,1.0,1.0,0.9996666666666667,0.0,0.0,1.7976931348623157E308,?,0.9996666666666667,-Infinity,6000.0,173208.0
7000.0,0.261396275,1.1480799613986163E-8,7000.0,1.0,1.0,0.9997142857142857,0.0,0.0,1.7976931348623157E308,?,0.9997142857142857,-Infinity,7000.0,173208.0
8000.0,0.347352675,1.682496906097771E-8,8000.0,0.7466241560390098,-0.24878730459335563,0.999375,-3.000900269611962E-4,0.0,3999.0,0.0,0.9996249062265566,-1.500000000000222,8000.0,240328.0
9000.0,0.411476972,2.0811770611964163E-8,9000.0,0.7434985552344966,-0.24774580360105591,0.9994444444444445,-2.6673779682753713E-4,0.0,4499.0,0.0,0.999666592576128,-1.4999999999997502,9000.0,240328.0
10000.0,0.472989631,2.463619872704355E-8,10000.0,0.739872974594919,-0.24653770120092522,0.9995,-2.4005761370095893E-4,0.0,4999.0,0.0,0.9996999399879976,-1.5,10000.0,240328.0
11000.0,0.53936026,2.883024316317919E-8,11000.0,0.7371724344868974,-0.2456378373417306,0.9997,-1.3335111341161276E-4,0.739872974594919,4999.0,0.0,0.9998999799959992,-0.6499999999999084,11000.0,244264.0
12000.0,0.599809975,3.26501375152688E-8,12000.0,0.7371724344868974,-0.2456378373417306,0.9997,-1.3335111341161276E-4,0.739872974594919,4999.0,0.0,0.9998999799959992,-0.8,12000.0,244264.0
13000.0,0.66081445,3.65050878571305E-8,13000.0,0.7371724344868974,-0.2456378373417306,0.9997,-1.3335111341161276E-4,0.739872974594919,4999.0,0.0,0.9998999799959992,-0.949999999999567,13000.0,244264.0
