learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),member weight 1,member weight 2,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes)
1000.0,0.067436515,3.0167406460580727E-9,1000.0,1.0,1.0,0.999,0.0,0.0,1.7976931348623157E308,?,0.999,-Infinity,1000.0,172920.0,0.5263157894736842,0.4736842105263158,1000.0,0.0,73968.0,102389.06191581208
2000.0,0.115412839,5.2046415107635165E-9,2000.0,1.0,1.0,0.9995,0.0,0.0,1.7976931348623157E308,?,0.9995,-Infinity,2000.0,176280.0,0.5263157894736842,0.4736842105263158,2000.0,0.0,75648.0,104764.94070059888
3000.0,0.16830719,7.662800498244665E-9,3000.0,1.0,1.0,0.9996666666666667,0.0,0.0,1.7976931348623157E308,?,0.9996666666666667,-Infinity,3000.0,179640.0,0.5263157894736842,0.4736842105263158,3000.0,0.0,77328.0,107140.81948538568
4000.0,0.214905089,9.828344494135431E-9,4000.0,1.0,1.0,0.99975,0.0,0.0,1.7976931348623157E308,?,0.99975,-Infinity,4000.0,179640.0,0.5263157894736842,0.4736842105263158,4000.0,0.0,77328.0,107140.81948538568
5000.0,0.251871434,1.154628131495168E-8,5000.0,1.0,1.0,0.9998,0.0,0.0,1.7976931348623157E308,?,0.9998,-Infinity,5000.0,179640.0,0.5263157894736842,0.4736842105263158,5000.0,0.0,77328.0,107140.81948538568
6000.0,0.305615605,1.409065026668832E-8,6000.0,1.0,1.0,0.9998333333333334,0.0,0.0,1.7976931348623157E308,?,0.9998333333333334,-Infinity,6000.0,183000.0,0.5263157894736842,0.4736842105263158,6000.0,0.0,79008.0,109516.69827017248
7000.0,0.368075682,1.704764965257297E-8,7000.0,1.0,1.0,0.9998571428571429,0.0,0.0,1.7976931348623157E308,?,0.9998571428571429,-Infinity,7000.0,183000.0,0.5263157894736842,0.4736842105263158,7000.0,0.0,79008.0,109516.69827017248
8000.0,0.454556459,2.2643494083846195E-8,8000.0,0.7467179294823706,-0.24886456462112216,0.9995,-2.5006251544174105E-4,0.0,3999.0,0.0,0.9997499374843711,-1.0,8000.0,250120.0,0.5263157894736842,0.4736842105263158,8000.0,0.0,112568.0,156977.70542341354
9000.0,0.502783827,2.5764104906500627E-8,9000.0,0.7435819070904646,-0.2478193977429881,0.9995555555555555,-2.2227161581612714E-4,0.0,4499.0,0.0,0.9997777283840854,-1.0,9000.0,250120.0,0.5263157894736842,0.4736842105263158,9000.0,0.0,112568.0,156977.70542341354
10000.0,0.557700544,2.9317558236461545E-8,10000.0,0.7399479895979196,-0.2466082934438344,0.9996,-2.0004000789630906E-4,0.0,4999.0,0.0,0.9997999599919984,-1.0,10000.0,250120.0,0.5263157894736842,0.4736842105263158,10000.0,0.0,112568.0,156977.70542341354
11000.0,0.636183645,3.4475818366799504E-8,11000.0,0.7371724344868974,-0.24568326233501236,0.9997,-1.3335111341161276E-4,0.7399479895979196,4999.0,0.0,0.9998999799959992,-0.6499999999999084,11000.0,254056.0,0.5263157894736842,0.4736842105263158,11000.0,0.0,114536.0,159760.8777141638
12000.0,0.713947767,3.95868239842169E-8,12000.0,0.7371724344868974,-0.24568326233501236,0.9997,-1.3335111341161276E-4,0.7399479895979196,4999.0,0.0,0.9998999799959992,-0.8,12000.0,254056.0,0.5263157894736842,0.4736842105263158,12000.0,0.0,114536.0,159760.8777141638
13000.0,0.77603983,4.366779184739209E-8,13000.0,0.7371724344868974,-0.24568326233501236,0.9997,-1.3335111341161276E-4,0.7399479895979196,4999.0,0.0,0.9998999799959992,-0.949999999999567,13000.0,254056.0,0.5263157894736842,0.4736842105263158,13000.0,0.0,114536.0,159760.8777141638
14000.0,0.832928244,4.7406752643734216E-8,14000.0,0.7371724344868974,-0.24568326233501236,0.9997,-1.3335111341161276E-4,0.7399479895979196,4999.0,0.0,0.9998999799959992,-1.1000000000002332,14000.0,254056.0,0.5263157894736842,0.4736842105263158,14000.0,0.0,114536.0,159760.8777141638
15000.0,0.882757091,5.068172714838344E-8,15000.0,0.7371724344868974,-0.24568326233501236,0.9997,-1.3335111341161276E-4,0.7399479895979196,4999.0,0.0,0.9998999799959992,-1.25,15000.0,254056.0,0.5263157894736842,0.4736842105263158,15000.0,0.0,114536.0,159760.8777141638
16000.0,0.930578425,5.382475892731092E-8,16000.0,0.7370974194838967,-0.24565826149423342,0.9996,-2.0004000789630906E-4,0.7399479895979196,4999.0,0.0,0.9997999599919984,-2.199999999998579,16000.0,254056.0,0.49999999999999994,0.5,16000.0,0.0,114536.0,159760.8777141638
17000.0,0.973971943,5.667677485128037E-8,17000.0,0.7370974194838967,-0.24565826149423342,0.9996,-2.0004000789630906E-4,0.7399479895979196,4999.0,0.0,0.9997999599919984,-2.3999999999988675,17000.0,254056.0,0.49999999999999994,0.5,17000.0,0.0,114536.0,159760.8777141638
18000.0,1.018598044,5.960980163829194E-8,18000.0,1.0,1.0,0.9999,0.0,0.7399479895979196,1.7976931348623157E308,?,0.9999,0.09999999999970025,18000.0,254056.0,0.49999999999999994,0.5,18000.0,0.0,114536.0,159760.8777141638
19000.0,1.079652213,6.36225544695494E-8,19000.0,1.0,1.0,0.9999,0.0,0.7399479895979196,1.7976931348623157E308,?,0.9999,0.04999999999994727,19000.0,254056.0,0.49999999999999994,0.5,19000.0,0.0,114536.0,159760.8777141638
20000.0,1.159172191,6.884896279002022E-8,20000.0,1.0,1.0,0.9999,0.0,0.7399479895979196,1.7976931348623157E308,?,0.9999,0.0,20000.0,254056.0,0.49999999999999994,0.5,20000.0,0.0,114536.0,159760.8777141638
21000.0,1.234731501,7.388073706144467E-8,21000.0,1.0,1.0,0.9999,0.0,1.0,1.7976931348623157E308,?,0.9999,-0.04999999999930056,21000.0,257416.0,0.49999999999999994,0.5,21000.0,0.0,116216.0,162136.7564989506
22000.0,1.289985889,7.756033138174356E-8,22000.0,1.0,1.0,0.9999,0.0,1.0,1.7976931348623157E308,?,0.9999,-0.09999999999926726,22000.0,257416.0,0.49999999999999994,0.5,22000.0,0.0,116216.0,162136.7564989506
23000.0,1.333854892,8.048173075143662E-8,23000.0,1.0,1.0,0.9999,0.0,1.0,1.7976931348623157E308,?,0.9999,-0.14999999999923394,23000.0,257416.0,0.49999999999999994,0.5,23000.0,0.0,116216.0,162136.7564989506
24000.0,1.410457218,8.558296332089852E-8,24000.0,1.0,1.0,0.9999,0.0,1.0,1.7976931348623157E308,?,0.9999,-0.2,24000.0,257416.0,0.49999999999999994,0.5,24000.0,0.0,116216.0,162136.7564989506
25000.0,1.479565522,9.018514121279534E-8,25000.0,1.0,1.0,0.9999,0.0,1.0,1.7976931348623157E308,?,0.9999,-0.25000000000034694,25000.0,257416.0,0.49999999999999994,0.5,25000.0,0.0,116216.0,162136.7564989506
26000.0,1.526990234,9.33433284126429E-8,26000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,1.0,26000.0,257416.0,0.49999999999999994,0.5,26000.0,0.0,116216.0,162136.7564989506
27000.0,1.573139639,9.641658819652059E-8,27000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,1.0,27000.0,257416.0,0.49999999999999994,0.5,27000.0,0.0,116216.0,162136.7564989506
28000.0,1.637536773,1.0070503183125829E-7,28000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,1.0,28000.0,257416.0,0.49999999999999994,0.5,28000.0,0.0,116216.0,162136.7564989506
29000.0,1.712786557,1.057161936200762E-7,29000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,1.0,29000.0,257416.0,0.49999999999999994,0.5,29000.0,0.0,116216.0,162136.7564989506
30000.0,1.788301405,1.1074500700226468E-7,30000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,1.0,30000.0,257416.0,0.49999999999999994,0.5,30000.0,0.0,116216.0,162136.7564989506
31000.0,1.863494265,1.1575237801111614E-7,31000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,1.0,31000.0,257416.0,0.49999999999999994,0.5,31000.0,0.0,116216.0,162136.7564989506
32000.0,1.942239973,1.20996346325537E-7,32000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,1.0,32000.0,257416.0,0.49999999999999994,0.5,32000.0,0.0,116216.0,162136.7564989506
33000.0,2.022051013,1.2631125904307804E-7,33000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,1.0,33000.0,257416.0,0.49999999999999994,0.5,33000.0,0.0,116216.0,162136.7564989506
34000.0,2.099802736,1.3148903421532778E-7,34000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,1.0,34000.0,257416.0,0.49999999999999994,0.5,34000.0,0.0,116216.0,162136.7564989506
35000.0,2.165980546,1.3589605965927657E-7,35000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,1.0,35000.0,257416.0,0.49999999999999994,0.5,35000.0,0.0,116216.0,162136.7564989506
36000.0,2.243469785,1.4105635504991023E-7,36000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,1.0,36000.0,257416.0,0.49999999999999994,0.5,36000.0,0.0,116216.0,162136.7564989506
37000.0,2.302026503,1.4495586375441609E-7,37000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,1.0,37000.0,257416.0,0.49999999999999994,0.5,37000.0,0.0,116216.0,162136.7564989506
38000.0,2.36511665,1.4925702708576703E-7,38000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,1.0,38000.0,263528.0,0.49999999999999994,0.5,38000.0,0.0,119272.0,166458.59314556277
39000.0,2.451905765,1.5517386476564117E-7,39000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,1.0,39000.0,263528.0,0.49999999999999994,0.5,39000.0,0.0,119272.0,166458.59314556277
40000.0,2.528267872,1.6037984240479767E-7,40000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,1.0,40000.0,263528.0,0.49999999999999994,0.5,40000.0,0.0,119272.0,166458.59314556277
41000.0,2.596901075,1.66117412351136E-7,41000.0,0.4987998799879988,-0.4987998799879988,0.9999,0.0,1.0,9999.0,0.0,1.0,-0.36666666666651493,41000.0,323144.0,0.5,0.5000000000000001,41000.0,0.0,149080.0,208613.47101278
42000.0,2.680319743,1.7453569436979584E-7,42000.0,0.4974494898979796,-0.4974494898979796,0.9998,0.0,1.0,4999.0,0.0,1.0,-1.0999999999986012,42000.0,390088.0,0.49999999999999994,0.5000000000000001,42000.0,0.0,182552.0,255950.02737253223
43000.0,2.758760378,1.8246817178938124E-7,43000.0,0.4974494898979796,-0.4974494898979796,0.9998,0.0,1.0,4999.0,0.0,1.0,-1.149999999999821,43000.0,390904.0,0.49999999999999994,0.5000000000000001,43000.0,0.0,182960.0,256527.02650598047
44000.0,2.845953033,1.9154719445014992E-7,44000.0,0.4974494898979796,-0.4974494898979796,0.9998,0.0,1.0,4999.0,0.0,1.0,-1.1999999999985345,44000.0,402496.0,0.49999999999999994,0.5000000000000001,44000.0,0.0,188756.0,264723.8083134949
