learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),member weight 1,member weight 2,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.016583547,2.327677602445086E-10,1000.0,1.0,1.0,0.999,0.0,0.0,1.7976931348623157E308,?,0.999,-Infinity,1000.0,54256.0,0.5263157894736842,0.4736842105263158,1000.0,0.0,10996.0,13333.20546605354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000.0,0.034064185,4.788868875718779E-10,2000.0,1.0,1.0,0.9995,0.0,0.0,1.7976931348623157E308,?,0.9995,-Infinity,2000.0,54424.0,0.5263157894736842,0.4736842105263158,2000.0,0.0,11080.0,13451.99940529288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3000.0,0.049193372,6.937460710232457E-10,3000.0,1.0,1.0,0.9996666666666667,0.0,0.0,1.7976931348623157E308,?,0.9996666666666667,-Infinity,3000.0,54896.0,0.5263157894736842,0.4736842105263158,3000.0,0.0,11316.0,13785.75380601293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4000.0,0.06454805,9.11807595230639E-10,4000.0,1.0,1.0,0.99975,0.0,0.0,1.7976931348623157E308,?,0.99975,-Infinity,4000.0,54896.0,0.5263157894736842,0.4736842105263158,4000.0,0.0,11316.0,13785.75380601293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5000.0,0.089414772,1.2649556912937098E-9,5000.0,1.0,1.0,0.9998,0.0,0.0,1.7976931348623157E308,?,0.9998,-Infinity,5000.0,54896.0,0.5263157894736842,0.4736842105263158,5000.0,0.0,11316.0,13785.75380601293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6000.0,0.119923125,1.6995501140774124E-9,6000.0,1.0,1.0,0.9998333333333334,0.0,0.0,1.7976931348623157E308,?,0.9998333333333334,-Infinity,6000.0,55064.0,0.5263157894736842,0.4736842105263158,6000.0,0.0,11400.0,13904.54774525227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7000.0,0.151081481,2.143403892113517E-9,7000.0,1.0,1.0,0.9998571428571429,0.0,0.0,1.7976931348623157E308,?,0.9998571428571429,-Infinity,7000.0,55064.0,0.5263157894736842,0.4736842105263158,7000.0,0.0,11400.0,13904.54774525227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8000.0,0.207524052,4.255048181605008E-9,8000.0,0.7362153038259565,-0.24538237507362648,0.9995,-2.5006251544174105E-4,0.0,3999.0,0.0,0.9997499374843711,-1.0,8000.0,144616.0,0.6529797752574209,0.3470202247425791,8000.0,0.0,54828.0,75321.01433199104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9000.0,0.271691396,8.278257574795022E-9,9000.0,0.737747277172705,-0.24589298556545003,0.9995555555555555,-2.2227161581612714E-4,0.0,4499.0,0.0,0.9997777283840854,-1.0,9000.0,242360.0,0.7973295310983515,0.20267046890164855,9000.0,0.0,103660.0,144379.89100979402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10000.0,0.303728053,1.029805343752727E-8,10000.0,0.7382976595319064,-0.2460764293621187,0.9996,-2.0004000789630906E-4,0.0,4999.0,0.0,0.9997999599919984,-1.0,10000.0,243704.0,0.7973295310983515,0.20267046890164855,10000.0,0.0,104332.0,145330.24252370873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11000.0,0.32901305,1.1894379308306509E-8,11000.0,0.738372674534907,-0.24610143204748358,0.9997,-1.3335111341161276E-4,0.7382976595319064,4999.0,0.0,0.9998999799959992,-0.6499999999999084,11000.0,244040.0,0.7973295310983515,0.20267046890164855,11000.0,0.0,104500.0,145567.83040218742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12000.0,0.353521519,1.3442745566628874E-8,12000.0,0.738372674534907,-0.24610143204748358,0.9997,-1.3335111341161276E-4,0.7382976595319064,4999.0,0.0,0.9998999799959992,-0.8,12000.0,244208.0,0.7973295310983515,0.20267046890164855,12000.0,0.0,104584.0,145686.62434142677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13000.0,0.37825186,1.5006203807586184E-8,13000.0,0.738372674534907,-0.24610143204748358,0.9997,-1.3335111341161276E-4,0.7382976595319064,4999.0,0.0,0.9998999799959992,-0.949999999999567,13000.0,244376.0,0.7973295310983515,0.20267046890164855,13000.0,0.0,104668.0,145805.4182806661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14000.0,0.408552425,1.6923129894611324E-8,14000.0,0.738372674534907,-0.24610143204748358,0.9997,-1.3335111341161276E-4,0.7382976595319064,4999.0,0.0,0.9998999799959992,-1.1000000000002332,14000.0,244544.0,0.7973295310983515,0.20267046890164855,14000.0,0.0,104752.0,145924.21221990543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
