learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),member weight 1,member weight 2,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.076133393,3.814202721646676E-9,1000.0,1.0,1.0,0.998,0.0,0.0,1.7976931348623157E308,?,0.998,-Infinity,1000.0,193656.0,0.5,0.5,1000.0,0.0,83396.0,89055.85644975855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000.0,0.136379479,6.887454481751967E-9,2000.0,1.0,1.0,0.999,0.0,0.0,1.7976931348623157E308,?,0.999,-Infinity,2000.0,197184.0,0.5,0.5,2000.0,0.0,85160.0,91312.941295306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3000.0,0.178818201,9.094394618796391E-9,3000.0,1.0,1.0,0.9993333333333333,0.0,0.0,1.7976931348623157E308,?,0.9993333333333333,-Infinity,3000.0,201016.0,0.5,0.5,3000.0,0.0,87076.0,93355.06567937275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4000.0,0.221819665,1.1330599018478145E-8,4000.0,1.0,1.0,0.9995,0.0,0.0,1.7976931348623157E308,?,0.9995,-Infinity,4000.0,201016.0,0.5,0.5,4000.0,0.0,87076.0,93355.06567937275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5000.0,0.267238359,1.369250658866225E-8,5000.0,1.0,1.0,0.9996,0.0,0.0,1.7976931348623157E308,?,0.9996,-Infinity,5000.0,201016.0,0.5,0.5,5000.0,0.0,87076.0,93355.06567937275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6000.0,0.314589268,1.619811209363863E-8,6000.0,1.0,1.0,0.9996666666666667,0.0,0.0,1.7976931348623157E308,?,0.9996666666666667,-Infinity,6000.0,204544.0,0.5,0.5,6000.0,0.0,88840.0,95612.15052492022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7000.0,0.360003287,1.8601225748954133E-8,7000.0,1.0,1.0,0.9997142857142857,0.0,0.0,1.7976931348623157E308,?,0.9997142857142857,-Infinity,7000.0,204544.0,0.5,0.5,7000.0,0.0,88840.0,95612.15052492022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8000.0,0.451790923,2.7178490057618666E-8,8000.0,0.7349024756189048,-0.244900525020339,0.9995,-2.5006251544174105E-4,0.0,3999.0,0.0,0.9997499374843711,-1.0,8000.0,361216.0,0.3712629441241379,0.6287370558758621,8000.0,0.0,165828.0,81656.6910914225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9000.0,0.532787577,3.6795488475087204E-8,9000.0,0.7330795732384975,-0.24429305700269954,0.9995555555555555,-2.2227161581612714E-4,0.0,4499.0,0.0,0.9997777283840854,-1.0,9000.0,458960.0,0.22023006211786864,0.7797699378821313,9000.0,0.0,214660.0,12597.814413619531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10000.0,0.605232461,4.542229582283853E-8,10000.0,0.7298959791958392,-0.24323214908856838,0.9996,-2.0004000789630906E-4,0.0,4999.0,0.0,0.9997999599919984,-1.0,10000.0,460304.0,0.22023006211786864,0.7797699378821313,10000.0,0.0,215332.0,11647.462899704811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
