learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes)
1000.0,0.105242599,8.030026524706434E-9,1000.0,1.0,1.0,0.998,0.0,0.0,1.7976931348623157E308,?,0.998,-Infinity,1000.0,294936.0
2000.0,0.20014395,1.5435997271475693E-8,2000.0,1.0,1.0,0.999,0.0,0.0,1.7976931348623157E308,?,0.999,-Infinity,2000.0,301656.0
3000.0,0.297097509,2.3170670242489628E-8,3000.0,1.0,1.0,0.9993333333333333,0.0,0.0,1.7976931348623157E308,?,0.9993333333333333,-Infinity,3000.0,308376.0
4000.0,0.394043753,3.090475964407747E-8,4000.0,1.0,1.0,0.9995,0.0,0.0,1.7976931348623157E308,?,0.9995,-Infinity,4000.0,308376.0
5000.0,0.463465739,3.6443043790080895E-8,5000.0,1.0,1.0,0.9996,0.0,0.0,1.7976931348623157E308,?,0.9996,-Infinity,5000.0,308376.0
6000.0,0.523187466,4.13112938433513E-8,6000.0,1.0,1.0,0.9996666666666667,0.0,0.0,1.7976931348623157E308,?,0.9996666666666667,-Infinity,6000.0,315096.0
7000.0,0.605595256,4.802881103868285E-8,7000.0,1.0,1.0,0.9997142857142857,0.0,0.0,1.7976931348623157E308,?,0.9997142857142857,-Infinity,7000.0,315096.0
8000.0,0.704668987,5.6104861756681144E-8,8000.0,1.0,1.0,0.99975,0.0,0.0,1.7976931348623157E308,?,0.99975,-Infinity,8000.0,315096.0
9000.0,0.797268013,6.365312326722467E-8,9000.0,1.0,1.0,0.9997777777777778,0.0,0.0,1.7976931348623157E308,?,0.9997777777777778,-Infinity,9000.0,315096.0
10000.0,0.89466632,7.159260085870821E-8,10000.0,1.0,1.0,0.9998,0.0,0.0,1.7976931348623157E308,?,0.9998,-Infinity,10000.0,315096.0
11000.0,1.000636321,8.041503043254836E-8,11000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,11000.0,321816.0
12000.0,1.093727125,8.816521496130152E-8,12000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,12000.0,321816.0
13000.0,1.19537826,9.662808153840401E-8,13000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,13000.0,321816.0
14000.0,1.301988701,1.0867422916644148E-7,14000.0,0.49884988498849886,-0.49884988498849886,0.9999,0.0,1.0,9999.0,0.0,1.0,-0.39999999999906743,14000.0,436768.0
15000.0,1.442489596,1.2634996154138816E-7,15000.0,0.9258766851081471,0.3985846158155235,0.9997,0.727133813577867,1.0,1427.5714285714287,0.7559289460184544,1.0,0.35714285714285715,15000.0,486296.0
