learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes)
1000.0,0.062749433,2.648239412522978E-9,1000.0,1.0,1.0,0.998,0.0,0.0,1.7976931348623157E308,?,0.998,-Infinity,1000.0,163136.0
2000.0,0.117100916,4.9893009619828726E-9,2000.0,1.0,1.0,0.999,0.0,0.0,1.7976931348623157E308,?,0.999,-Infinity,2000.0,166496.0
3000.0,0.171235051,7.368056013046039E-9,3000.0,1.0,1.0,0.9993333333333333,0.0,0.0,1.7976931348623157E308,?,0.9993333333333333,-Infinity,3000.0,169856.0
4000.0,0.228389321,9.879521439663239E-9,4000.0,1.0,1.0,0.9995,0.0,0.0,1.7976931348623157E308,?,0.9995,-Infinity,4000.0,169856.0
5000.0,0.284209564,1.2332367227036093E-8,5000.0,1.0,1.0,0.9996,0.0,0.0,1.7976931348623157E308,?,0.9996,-Infinity,5000.0,169856.0
6000.0,0.338087514,1.4746697598174215E-8,6000.0,1.0,1.0,0.9996666666666667,0.0,0.0,1.7976931348623157E308,?,0.9996666666666667,-Infinity,6000.0,173216.0
7000.0,0.371698471,1.6252841656886868E-8,7000.0,1.0,1.0,0.9997142857142857,0.0,0.0,1.7976931348623157E308,?,0.9997142857142857,-Infinity,7000.0,173216.0
8000.0,0.405993267,1.7789629295518E-8,8000.0,1.0,1.0,0.99975,0.0,0.0,1.7976931348623157E308,?,0.99975,-Infinity,8000.0,173216.0
9000.0,0.442497316,1.9425415998059842E-8,9000.0,1.0,1.0,0.9997777777777778,0.0,0.0,1.7976931348623157E308,?,0.9997777777777778,-Infinity,9000.0,173216.0
10000.0,0.499725883,2.1989891212963395E-8,10000.0,1.0,1.0,0.9998,0.0,0.0,1.7976931348623157E308,?,0.9998,-Infinity,10000.0,173216.0
11000.0,0.541370889,2.38922491414845E-8,11000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,11000.0,176576.0
12000.0,0.574837971,2.5421036741783222E-8,12000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,12000.0,176576.0
13000.0,0.607439567,2.6910288649515975E-8,13000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,13000.0,176576.0
14000.0,0.687102291,3.180001584377554E-8,14000.0,0.49914991499149913,-0.49914991499149913,0.9999,0.0,1.0,9999.0,0.0,1.0,-0.39999999999906743,14000.0,237264.0
15000.0,0.769422752,3.745053701603992E-8,15000.0,0.9251904904861975,0.37287111325250843,0.9997,0.727133813577867,1.0,1427.5714285714287,0.7559289460184544,1.0,0.35714285714285715,15000.0,265328.0
16000.0,0.817455531,4.102985438186261E-8,16000.0,0.9625940602557866,0.6863816434789088,0.9997,0.879851977636462,1.0,713.2857142857143,0.8864052604279183,1.0,0.6571428571428789,16000.0,288048.0
17000.0,0.857942622,4.4111400564743414E-8,17000.0,0.9625940602557866,0.6863816434789088,0.9997,0.879851977636462,1.0,713.2857142857143,0.8864052604279183,1.0,0.6357142857143089,17000.0,294208.0
18000.0,0.898387012,4.7189696696798006E-8,18000.0,0.9625940602557866,0.6863816434789088,0.9997,0.879851977636462,1.0,713.2857142857143,0.8864052604279183,1.0,0.614285714285751,18000.0,294208.0
19000.0,0.93816272,5.0217098224825325E-8,19000.0,0.9625940602557866,0.6863816434789088,0.9997,0.879851977636462,1.0,713.2857142857143,0.8864052604279183,1.0,0.5928571428571816,19000.0,294208.0
20000.0,1.002503567,5.5114197190917196E-8,20000.0,0.9625940602557866,0.6863816434789088,0.9997,0.879851977636462,1.0,713.2857142857143,0.8864052604279183,1.0,0.5714285714286395,20000.0,294208.0
21000.0,1.072234886,6.048218765307631E-8,21000.0,0.9625940602557866,0.6863816434789088,0.9997,0.879851977636462,0.9625940602557866,713.2857142857143,0.8864052604279183,1.0,0.550000000000075,21000.0,297568.0
22000.0,1.141097449,6.578330036232868E-8,22000.0,0.9625940602557866,0.6863816434789088,0.9997,0.879851977636462,0.9625940602557866,713.2857142857143,0.8864052604279183,1.0,0.5285714285714959,22000.0,297568.0
23000.0,1.209716708,7.10656832731184E-8,23000.0,0.9625940602557866,0.6863816434789088,0.9997,0.879851977636462,0.9625940602557866,713.2857142857143,0.8864052604279183,1.0,0.5071428571429157,23000.0,297568.0
24000.0,1.278819003,7.638525080450706E-8,24000.0,0.9988292472521971,0.776991030250107,0.9998,0.9165672426308116,0.9625940602557866,768.2307692307693,0.9198662110077999,1.0,0.6571428571429224,24000.0,297568.0
25000.0,1.352910943,8.206439189266827E-8,25000.0,0.937437449959968,0.8125625223156813,0.9999,0.9332835183603823,0.9625940602557866,1249.0,0.9354143466934853,1.0,0.8333333333333641,25000.0,296288.0
26000.0,1.426705175,8.80829773035811E-8,26000.0,0.49924992499249926,-0.49924992499249926,0.9999,0.0,0.9625940602557866,9999.0,0.0,1.0,0.8266666666666718,26000.0,315264.0
27000.0,1.513621052,9.587634746401053E-8,27000.0,0.8298989696909073,-0.16363842280577445,0.9997,0.0,0.9625940602557866,3332.3333333333335,0.0,1.0,0.5235294117647712,27000.0,346600.0
28000.0,1.555299737,9.961349459082302E-8,28000.0,0.8284985495648695,-0.16317502715440746,0.9997,0.0,0.9625940602557866,3332.3333333333335,0.0,1.0,0.5058823529411893,28000.0,346600.0
29000.0,1.61765597,1.0546449118891523E-7,29000.0,0.8710609243697479,-0.022212408956374774,0.9996,0.0,0.9625940602557866,2499.0,0.0,1.0,0.3555555555555794,29000.0,362704.0
30000.0,1.679987376,1.1154561881023149E-7,30000.0,0.870485694277711,-0.022049252828209354,0.9995,-1.600256040124292E-4,0.9625940602557866,2499.0,0.0,0.9998999599839936,0.16666666666682087,30000.0,377120.0
31000.0,1.733182265,1.1715703081455082E-7,31000.0,0.8690101040416166,-0.02157917175808699,0.9995,-1.600256040124292E-4,0.870485694277711,2499.0,0.0,0.9998999599839936,0.13888888888895792,31000.0,407760.0
32000.0,1.83112621,1.265479642204899E-7,32000.0,0.992381685034111,0.8993431657357792,0.9986,0.9454461569155581,0.870485694277711,72.52941176470588,0.9509574525554623,0.9998986212489862,0.7013333333333397,32000.0,370624.0
33000.0,1.915254326,1.3671906668877024E-7,33000.0,0.9948988782936613,0.9327560777545689,0.9986,0.9639329936851835,0.870485694277711,48.01960784313726,0.9675633997715719,0.999897917517354,0.7880733944954197,33000.0,467336.0
34000.0,1.972132845,1.4362806051977393E-7,34000.0,0.994882865355207,0.932738888246432,0.9986,0.9639329936851835,0.870485694277711,48.01960784313726,0.9675633997715719,0.999897917517354,0.7816513761467953,34000.0,469536.0
35000.0,2.024226807,1.5006250557419327E-7,35000.0,0.9973612109065256,0.9397442735904943,0.9987,0.9664260360408763,0.870485694277711,48.26108374384236,0.9699436381878266,0.9998979279371236,0.7912844036697314,35000.0,477448.0
36000.0,2.074942709,1.5644765411095074E-7,36000.0,0.9973627193606568,0.9397446482092098,0.9987,0.9664260360408763,0.870485694277711,48.26108374384236,0.9699436381878266,0.9998979279371236,0.7853211009174378,36000.0,486664.0
37000.0,2.133152806,1.6395980301221627E-7,37000.0,0.9974565888792591,0.9491021551760309,0.9989,0.9714494541135629,0.870485694277711,48.75124378109453,0.9747572939787607,0.9998979487702827,0.8133027522935792,37000.0,498848.0
38000.0,2.203717123,1.7308469392328628E-7,38000.0,0.9974636969251102,0.9491048756273471,0.9989,0.9714494541135629,0.870485694277711,48.75124378109453,0.9747572939787607,0.9998979487702827,0.8082568807339465,38000.0,499856.0
39000.0,2.256967858,1.8005579238869666E-7,39000.0,0.9974525510204082,0.951828416577444,0.999,0.9739800166527892,0.870485694277711,49.0,0.9771911537771963,0.9998979591836735,0.8211009174311936,39000.0,506032.0
40000.0,2.310637856,1.8712454108369022E-7,40000.0,0.9974602040816326,0.9518779899235968,0.9991,0.9765233722871449,0.870485694277711,49.0,0.9772410142846032,1.0,0.8348623853210974,40000.0,509112.0
41000.0,2.372452749,1.9527204749042378E-7,41000.0,0.9974696428571429,0.9518695309230747,0.9991,0.9765233722871449,0.9974602040816326,49.0,0.9772410142846032,1.0,0.8307339449541263,41000.0,509488.0
42000.0,2.460590302,2.0694263826393836E-7,42000.0,1.0,0.9997597073005331,1.0,1.0,0.9974602040816326,146.05882352941177,1.0,1.0,1.0,42000.0,511840.0
43000.0,2.544190317,2.180341987237169E-7,43000.0,1.0,1.0,1.0,?,0.9974602040816326,1.7976931348623157E308,?,1.0,1.0,43000.0,512848.0
44000.0,2.632104929,2.298379311612911E-7,44000.0,0.9997999799979999,0.025534698612242668,0.9999,0.0,0.9974602040816326,9999.0,0.0,1.0,0.9799086757990891,44000.0,518992.0
45000.0,2.712944684,2.4069176781746665E-7,45000.0,0.9997999799979999,0.02553861900344989,0.9999,0.0,0.9974602040816326,9999.0,0.0,1.0,0.9794520547945229,45000.0,518992.0
46000.0,2.802145119,2.5266813948199983E-7,46000.0,0.9997999799979999,0.02553937287202268,0.9999,0.0,0.9974602040816326,9999.0,0.0,1.0,0.9789954337899566,46000.0,518992.0
47000.0,2.893796609,2.6555819992344414E-7,47000.0,0.9997999599919984,0.06444885609823414,0.9998,0.0,0.9974602040816326,4999.0,0.0,1.0,0.9572727272727317,47000.0,543648.0
48000.0,2.965465979,2.7574472820158633E-7,48000.0,0.999749949989998,0.06444257607062653,0.9998,0.0,0.9974602040816326,4999.0,0.0,1.0,0.9563636363636416,48000.0,549408.0
49000.0,3.029224001,2.848576011244663E-7,49000.0,0.9998499699939988,0.06445005231542167,0.9998,0.0,0.9974602040816326,4999.0,0.0,1.0,0.9554545454545509,49000.0,552488.0
50000.0,3.135154143,3.002844138223181E-7,50000.0,0.9997749099639855,0.057357388497567774,0.9996,0.0,0.9974602040816326,2499.0,0.0,1.0,0.9099099099099198,50000.0,562936.0
51000.0,3.236875512,3.1670984925800313E-7,51000.0,0.9987244897959183,0.057355015974287604,0.9996,0.0,0.9997749099639855,2499.0,0.0,1.0,0.9081081081081176,51000.0,624176.0
52000.0,3.314731058,3.3051919793981643E-7,52000.0,0.9999047200622495,0.9051152505509877,0.9996,0.9634355249470311,0.9997749099639855,174.43859649122808,0.964274111134126,1.0,0.9243636363636444,52000.0,685624.0
53000.0,3.381597856,3.4252587120067326E-7,53000.0,0.9999529619932905,0.9717347858656505,0.9996,0.9898949070331459,0.9997749099639855,48.01960784313726,0.9901475429766743,1.0,0.9497630331753608,53000.0,694088.0
54000.0,3.447355235,3.5461123556090517E-7,54000.0,0.9999381533806216,0.9763682936802061,0.9997,0.9924027552674238,0.9997749099639855,48.26108374384236,0.9925833339709302,1.0,0.9616113744075873,54000.0,710424.0
55000.0,3.528980585,3.6967729303432626E-7,55000.0,0.999937650562578,0.9763676481672087,0.9997,0.9924027552674238,0.9997749099639855,48.26108374384236,0.9925833339709302,1.0,0.9609004739336536,55000.0,713472.0
56000.0,3.626905021,3.8783627728075405E-7,56000.0,0.999926588565616,0.9763652974134801,0.9997,0.9924027552674238,0.9997749099639855,48.26108374384236,0.9925833339709302,1.0,0.9601895734597201,56000.0,716808.0
57000.0,3.758355151,4.1404584065843987E-7,57000.0,0.9974797613531776,0.9455612263151961,0.999,0.9752179457758741,0.9997749099639855,46.39336492890995,0.9760156940700749,1.0,0.8677494199535953,57000.0,770728.0
58000.0,3.880450096,4.399850626471514E-7,58000.0,0.9974427239395801,0.9455595774250852,0.999,0.9752179457758741,0.9997749099639855,46.39336492890995,0.9760156940700749,1.0,0.8654292343387469,58000.0,821224.0
59000.0,3.98356343,4.618916179154481E-7,59000.0,0.9974252945684754,0.9455621453579994,0.999,0.9752179457758741,0.9997749099639855,46.39336492890995,0.9760156940700749,1.0,0.8631090487238985,59000.0,821224.0
60000.0,4.086403213,4.837560197709003E-7,60000.0,0.99751578321855,0.9541279870778487,0.9992,0.9800795919902026,0.9997749099639855,46.84688995215311,0.9806745066729723,1.0,0.8886310904872355,60000.0,821824.0
61000.0,4.204513072,5.103027838696662E-7,61000.0,0.9975047424485627,0.9495544276071052,0.9991,0.9776429731864722,0.99751578321855,46.61904761904762,0.9783367810436533,1.0,0.8729166666666642,61000.0,868816.0
