learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),member weight 1,member weight 2,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes)
1000.0,0.06468731,2.8938901361491947E-9,1000.0,1.0,1.0,0.999,0.0,0.0,1.7976931348623157E308,?,0.999,-Infinity,1000.0,172928.0,0.5263157894736842,0.4736842105263158,1000.0,0.0,73968.0,102389.06191581208
2000.0,0.114643064,5.1721638443238205E-9,2000.0,1.0,1.0,0.9995,0.0,0.0,1.7976931348623157E308,?,0.9995,-Infinity,2000.0,176288.0,0.5263157894736842,0.4736842105263158,2000.0,0.0,75648.0,104764.94070059888
3000.0,0.176409449,8.042760668661858E-9,3000.0,1.0,1.0,0.9996666666666667,0.0,0.0,1.7976931348623157E308,?,0.9996666666666667,-Infinity,3000.0,179648.0,0.5263157894736842,0.4736842105263158,3000.0,0.0,77328.0,107140.81948538568
4000.0,0.2383872,1.0923180741816759E-8,4000.0,1.0,1.0,0.99975,0.0,0.0,1.7976931348623157E308,?,0.99975,-Infinity,4000.0,179648.0,0.5263157894736842,0.4736842105263158,4000.0,0.0,77328.0,107140.81948538568
5000.0,0.304972575,1.4017740444839E-8,5000.0,1.0,1.0,0.9998,0.0,0.0,1.7976931348623157E308,?,0.9998,-Infinity,5000.0,179648.0,0.5263157894736842,0.4736842105263158,5000.0,0.0,77328.0,107140.81948538568
6000.0,0.368846807,1.7041821277704504E-8,6000.0,1.0,1.0,0.9998333333333334,0.0,0.0,1.7976931348623157E308,?,0.9998333333333334,-Infinity,6000.0,183008.0,0.5263157894736842,0.4736842105263158,6000.0,0.0,79008.0,109516.69827017248
7000.0,0.432314518,2.004665565819376E-8,7000.0,1.0,1.0,0.9998571428571429,0.0,0.0,1.7976931348623157E308,?,0.9998571428571429,-Infinity,7000.0,183008.0,0.5263157894736842,0.4736842105263158,7000.0,0.0,79008.0,109516.69827017248
8000.0,0.498443983,2.3177508919868205E-8,8000.0,1.0,1.0,0.999875,0.0,0.0,1.7976931348623157E308,?,0.999875,-Infinity,8000.0,183008.0,0.5263157894736842,0.4736842105263158,8000.0,0.0,79008.0,109516.69827017248
9000.0,0.566644552,2.640641715164814E-8,9000.0,1.0,1.0,0.9998888888888889,0.0,0.0,1.7976931348623157E308,?,0.9998888888888889,-Infinity,9000.0,183008.0,0.5263157894736842,0.4736842105263158,9000.0,0.0,79008.0,109516.69827017248
10000.0,0.634582028,2.9622869429381357E-8,10000.0,1.0,1.0,0.9999,0.0,0.0,1.7976931348623157E308,?,0.9999,-Infinity,10000.0,183008.0,0.5263157894736842,0.4736842105263158,10000.0,0.0,79008.0,109516.69827017248
11000.0,0.683265433,3.19700684746686E-8,11000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,11000.0,186368.0,0.5263157894736842,0.4736842105263158,11000.0,0.0,80688.0,111892.57705495929
12000.0,0.721404032,3.380886514801946E-8,12000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,12000.0,186368.0,0.5263157894736842,0.4736842105263158,12000.0,0.0,80688.0,111892.57705495929
13000.0,0.759055377,3.562416958364348E-8,13000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,13000.0,186368.0,0.5263157894736842,0.4736842105263158,13000.0,0.0,80688.0,111892.57705495929
14000.0,0.814247416,3.915168949433913E-8,14000.0,0.49914991499149913,-0.49914991499149913,0.9999,0.0,1.0,9999.0,0.0,1.0,-0.39999999999906743,14000.0,247056.0,0.5263157894736842,0.4736842105263158,14000.0,0.0,111032.0,154805.47339160848
15000.0,0.871342629,4.3215369382914573E-8,15000.0,0.9251904904861975,0.36368122111881585,0.9996,0.5998319294104408,1.0,1427.5714285714287,0.6546536707079771,1.0,0.14285714285714285,15000.0,275120.0,0.5,0.5000000000000001,15000.0,0.0,125064.0,174649.71809882775
16000.0,0.948580173,4.9166631903168234E-8,16000.0,0.9625940602557866,0.6818142788389836,0.9996,0.8331386617720773,1.0,713.2857142857143,0.8451542547285166,1.0,0.5428571428571719,16000.0,297840.0,0.5,0.5000000000000001,16000.0,0.0,136424.0,190715.18416738612
17000.0,1.025612508,5.522484123052823E-8,17000.0,0.9625940602557866,0.6818142788389836,0.9996,0.8331386617720773,1.0,713.2857142857143,0.8451542547285166,1.0,0.5142857142857451,17000.0,304000.0,0.5,0.5000000000000001,17000.0,0.0,139504.0,195070.96193949523
18000.0,1.106317826,6.157191236987711E-8,18000.0,0.9625189551085805,0.6817160877581503,0.9996,0.8331386617720773,1.0,713.2857142857143,0.8451542547285166,1.0,0.48571428571433467,18000.0,304000.0,0.421631000578369,0.578368999421631,18000.0,0.0,139504.0,195070.96193949523
19000.0,1.169323539,6.652699776581593E-8,19000.0,0.9625189551085805,0.6817160877581503,0.9996,0.8331386617720773,1.0,713.2857142857143,0.8451542547285166,1.0,0.4571428571429088,19000.0,304000.0,0.421631000578369,0.578368999421631,19000.0,0.0,139504.0,195070.96193949523
20000.0,1.246127685,7.256726116529771E-8,20000.0,0.9625189551085805,0.6817160877581503,0.9996,0.8331386617720773,1.0,713.2857142857143,0.8451542547285166,1.0,0.4285714285715192,20000.0,304000.0,0.421631000578369,0.578368999421631,20000.0,0.0,139504.0,195070.96193949523
21000.0,1.313921053,7.795780009983316E-8,21000.0,0.9625189551085805,0.6817160877581503,0.9996,0.8331386617720773,0.9625189551085805,713.2857142857143,0.8451542547285166,1.0,0.40000000000009994,21000.0,307360.0,0.421631000578369,0.578368999421631,21000.0,0.0,141184.0,197446.84072428202
22000.0,1.37007964,8.242320812812284E-8,22000.0,0.9625189551085805,0.6817160877581503,0.9996,0.8331386617720773,0.9625189551085805,713.2857142857143,0.8451542547285166,1.0,0.37142857142866115,22000.0,307360.0,0.421631000578369,0.578368999421631,22000.0,0.0,141184.0,197446.84072428202
23000.0,1.454249847,8.911593916283715E-8,23000.0,0.9625189551085805,0.6817160877581503,0.9996,0.8331386617720773,0.9625189551085805,713.2857142857143,0.8451542547285166,1.0,0.342857142857221,23000.0,307360.0,0.421631000578369,0.578368999421631,23000.0,0.0,141184.0,197446.84072428202
24000.0,1.539519988,9.58961306266073E-8,24000.0,0.998759926365814,0.7719549525935083,0.9997,0.8694176025071967,0.9625189551085805,768.2307692307693,0.8770580193070292,1.0,0.4857142857143836,24000.0,307360.0,0.421631000578369,0.578368999421631,24000.0,0.0,141184.0,197446.84072428202
25000.0,1.626530784,1.027859164837748E-7,25000.0,0.9374186849479583,0.8124568446266397,0.9999,0.9332835183603823,0.9625189551085805,1249.0,0.9354143466934853,1.0,0.8333333333333641,25000.0,306080.0,0.42163100057836905,0.578368999421631,25000.0,0.0,140544.0,196541.74404436327
