learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes)
1000.0,0.149537764,1.6508197348821493E-8,1000.0,1.0,1.0,0.998,0.0,0.0,1.7976931348623157E308,?,0.998,-Infinity,1000.0,426728.0
2000.0,0.273297008,3.0493306515879096E-8,2000.0,1.0,1.0,0.999,0.0,0.0,1.7976931348623157E308,?,0.999,-Infinity,2000.0,436808.0
3000.0,0.384788501,4.338286535947066E-8,3000.0,1.0,1.0,0.9993333333333333,0.0,0.0,1.7976931348623157E308,?,0.9993333333333333,-Infinity,3000.0,446888.0
4000.0,0.517039542,5.8672440637610846E-8,4000.0,1.0,1.0,0.9995,0.0,0.0,1.7976931348623157E308,?,0.9995,-Infinity,4000.0,446888.0
5000.0,0.619440172,7.051100258068077E-8,5000.0,1.0,1.0,0.9996,0.0,0.0,1.7976931348623157E308,?,0.9996,-Infinity,5000.0,446888.0
6000.0,0.752423228,8.623198663432564E-8,6000.0,1.0,1.0,0.9996666666666667,0.0,0.0,1.7976931348623157E308,?,0.9996666666666667,-Infinity,6000.0,456968.0
7000.0,0.877673658,1.0103883550642678E-7,7000.0,1.0,1.0,0.9997142857142857,0.0,0.0,1.7976931348623157E308,?,0.9997142857142857,-Infinity,7000.0,456968.0
8000.0,0.982210263,1.1339693848329906E-7,8000.0,1.0,1.0,0.99975,0.0,0.0,1.7976931348623157E308,?,0.99975,-Infinity,8000.0,456968.0
9000.0,1.119184913,1.2958980059051058E-7,9000.0,1.0,1.0,0.9997777777777778,0.0,0.0,1.7976931348623157E308,?,0.9997777777777778,-Infinity,9000.0,456968.0
10000.0,1.260521244,1.4629829167716205E-7,10000.0,1.0,1.0,0.9998,0.0,0.0,1.7976931348623157E308,?,0.9998,-Infinity,10000.0,456968.0
11000.0,1.404841021,1.6373582277472028E-7,11000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,11000.0,467048.0
12000.0,1.539583058,1.800161171957395E-7,12000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,12000.0,467048.0
13000.0,1.656706986,1.9416769211653619E-7,13000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,13000.0,467048.0
14000.0,1.798352785,2.112821380798291E-7,14000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,14000.0,467048.0
15000.0,1.940101191,2.2840898160075767E-7,15000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,15000.0,467048.0
16000.0,2.078948135,2.45185254084888E-7,16000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,16000.0,467048.0
17000.0,2.212551478,2.613279650613624E-7,17000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,17000.0,467048.0
18000.0,2.352109546,2.7819015956617474E-7,18000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,18000.0,467048.0
19000.0,2.473477075,2.928544703430082E-7,19000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,19000.0,467048.0
20000.0,2.602539835,3.084485624197767E-7,20000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,20000.0,467048.0
21000.0,2.719061526,3.2283122565014907E-7,21000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,21000.0,477128.0
22000.0,2.816514903,3.3847874439756073E-7,22000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,22000.0,620656.0
23000.0,2.963957914,3.5667812989124614E-7,23000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,23000.0,477128.0
24000.0,3.099813104,3.734471917637541E-7,24000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,24000.0,477128.0
25000.0,3.190815002,3.8467986132961805E-7,25000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,25000.0,477128.0
26000.0,3.299684301,3.981179641429708E-7,26000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,26000.0,477128.0
27000.0,3.445341289,4.1609689482596606E-7,27000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,27000.0,477128.0
28000.0,3.587665207,4.3366441349698446E-7,28000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,28000.0,477128.0
29000.0,3.739432733,4.5239758838512427E-7,29000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,29000.0,477128.0
30000.0,3.879147785,4.6964308597346573E-7,30000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,30000.0,477128.0
31000.0,4.004989352,4.851761327650999E-7,31000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,31000.0,477128.0
32000.0,4.148750356,5.029210357822748E-7,32000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,32000.0,477128.0
33000.0,4.29968564,5.215514842483257E-7,33000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,33000.0,477128.0
34000.0,4.421239396,5.365552721433611E-7,34000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,34000.0,477128.0
35000.0,4.572325972,5.552043950885307E-7,35000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,35000.0,477128.0
36000.0,4.71796996,5.731817211379131E-7,36000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,36000.0,477128.0
37000.0,4.833494187,5.874412640404452E-7,37000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,37000.0,477128.0
38000.0,4.961960099,6.032982425396558E-7,38000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,38000.0,477128.0
39000.0,5.108223352,6.213520065455159E-7,39000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,39000.0,477128.0
40000.0,5.242002599,6.378648278091019E-7,40000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,40000.0,477128.0
41000.0,5.373971632,6.541542082857112E-7,41000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,41000.0,477128.0
42000.0,5.51705084,6.721880630451295E-7,42000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,42000.0,487208.0
