learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes)
1000.0,0.144424973,1.5943771610642887E-8,1000.0,1.0,1.0,0.998,0.0,0.0,1.7976931348623157E308,?,0.998,-Infinity,1000.0,426728.0
2000.0,0.23184329,2.5822263648340272E-8,2000.0,1.0,1.0,0.999,0.0,0.0,1.7976931348623157E308,?,0.999,-Infinity,2000.0,436808.0
3000.0,0.360814397,4.073264495249631E-8,3000.0,1.0,1.0,0.9993333333333333,0.0,0.0,1.7976931348623157E308,?,0.9993333333333333,-Infinity,3000.0,446888.0
4000.0,0.498114621,5.660595751533285E-8,4000.0,1.0,1.0,0.9995,0.0,0.0,1.7976931348623157E308,?,0.9995,-Infinity,4000.0,446888.0
5000.0,0.641662524,7.320156577929855E-8,5000.0,1.0,1.0,0.9996,0.0,0.0,1.7976931348623157E308,?,0.9996,-Infinity,5000.0,446888.0
6000.0,0.782514811,8.985283417732972E-8,6000.0,1.0,1.0,0.9996666666666667,0.0,0.0,1.7976931348623157E308,?,0.9996666666666667,-Infinity,6000.0,456968.0
7000.0,0.891676095,1.0275765721763794E-7,7000.0,1.0,1.0,0.9997142857142857,0.0,0.0,1.7976931348623157E308,?,0.9997142857142857,-Infinity,7000.0,456968.0
8000.0,0.975023181,1.1261077873053029E-7,8000.0,1.0,1.0,0.99975,0.0,0.0,1.7976931348623157E308,?,0.99975,-Infinity,8000.0,456968.0
9000.0,1.067309141,1.2352063558880033E-7,9000.0,1.0,1.0,0.9997777777777778,0.0,0.0,1.7976931348623157E308,?,0.9997777777777778,-Infinity,9000.0,456968.0
10000.0,1.202009181,1.3944459796837842E-7,10000.0,1.0,1.0,0.9998,0.0,0.0,1.7976931348623157E308,?,0.9998,-Infinity,10000.0,456968.0
11000.0,1.291009082,1.5019806900074498E-7,11000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,11000.0,467048.0
12000.0,1.376536395,1.6053196232520665E-7,12000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,12000.0,467048.0
13000.0,1.46393775,1.7109228799548E-7,13000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,13000.0,467048.0
14000.0,1.623367176,1.9733402278331416E-7,14000.0,0.49914991499149913,-0.49914991499149913,0.9999,0.0,1.0,9999.0,0.0,1.0,-0.39999999999906743,14000.0,636248.0
15000.0,1.816207215,2.3327443155634525E-7,15000.0,0.9256979885920145,0.3812479181793236,0.9997,0.727133813577867,1.0,1427.5714285714287,0.7559289460184544,1.0,0.35714285714285715,15000.0,720424.0
16000.0,1.961924671,2.640700364149755E-7,16000.0,0.9627514234213613,0.6747163740237756,0.9997,0.879851977636462,1.0,713.2857142857143,0.8864052604279183,1.0,0.6571428571428789,16000.0,816920.0
17000.0,2.129859763,2.9994164489851853E-7,17000.0,0.9627514234213613,0.6747163740237756,0.9997,0.879851977636462,1.0,713.2857142857143,0.8864052604279183,1.0,0.6357142857143089,17000.0,825680.0
18000.0,2.249857869,3.2555882018680996E-7,18000.0,0.9627514234213613,0.6747163740237756,0.9997,0.879851977636462,1.0,713.2857142857143,0.8864052604279183,1.0,0.614285714285751,18000.0,825200.0
19000.0,2.413317591,3.604541738772206E-7,19000.0,0.9627514234213613,0.6747163740237756,0.9997,0.879851977636462,1.0,713.2857142857143,0.8864052604279183,1.0,0.5928571428571816,19000.0,825200.0
20000.0,2.524033335,3.8408975210227695E-7,20000.0,0.9627514234213613,0.6747163740237756,0.9997,0.879851977636462,1.0,713.2857142857143,0.8864052604279183,1.0,0.5714285714286395,20000.0,825200.0
21000.0,2.636003943,4.082852045947127E-7,21000.0,0.9627514234213613,0.6747163740237756,0.9997,0.879851977636462,0.9627514234213613,713.2857142857143,0.8864052604279183,1.0,0.550000000000075,21000.0,835280.0
22000.0,2.756431885,4.3430818153007787E-7,22000.0,0.9627514234213613,0.6747163740237756,0.9997,0.879851977636462,0.9627514234213613,713.2857142857143,0.8864052604279183,1.0,0.5285714285714959,22000.0,835280.0
23000.0,2.897404119,4.6477052384851503E-7,23000.0,0.9627514234213613,0.6747163740237756,0.9997,0.879851977636462,0.9627514234213613,713.2857142857143,0.8864052604279183,1.0,0.5071428571429157,23000.0,835280.0
24000.0,3.054783865,4.987783249637381E-7,24000.0,0.999060316873474,0.764366772378261,0.9998,0.9165672426308116,0.9627514234213613,768.2307692307693,0.9198662110077999,1.0,0.6571428571429224,24000.0,835280.0
25000.0,3.207713026,5.317816822302798E-7,25000.0,0.9372998398718975,0.7848597767922764,0.9999,0.9332835183603823,0.9627514234213613,1249.0,0.9354143466934853,1.0,0.8333333333333641,25000.0,834200.0
26000.0,3.388420657,5.740190174556731E-7,26000.0,0.4985998599859986,-0.4985998599859986,0.9999,0.0,0.9627514234213613,9999.0,0.0,1.0,0.8266666666666718,26000.0,903488.0
27000.0,3.601245003,6.27991528410775E-7,27000.0,0.8300323430362442,-0.16125133714624518,0.9997,0.0,0.9627514234213613,3332.3333333333335,0.0,1.0,0.5235294117647712,27000.0,980288.0
28000.0,3.797664939,6.77650606237712E-7,28000.0,0.8285819079057051,-0.16077079820540796,0.9997,0.0,0.9627514234213613,3332.3333333333335,0.0,1.0,0.5058823529411893,28000.0,977272.0
29000.0,4.03545015,7.409025076238501E-7,29000.0,0.8708733493397359,-0.061970067729966716,0.9996,0.0,0.9627514234213613,2499.0,0.0,1.0,0.3555555555555794,29000.0,1028232.0
30000.0,4.268083257,8.057420098388444E-7,30000.0,0.8702981192476991,-0.0618033332891571,0.9995,-1.600256040124292E-4,0.9627514234213613,2499.0,0.0,0.9998999599839936,0.16666666666682087,30000.0,1077384.0
31000.0,4.508513541,8.779849717295419E-7,31000.0,0.8689600840336135,-0.06136945466027566,0.9995,-1.600256040124292E-4,0.8702981192476991,2499.0,0.0,0.9998999599839936,0.13888888888895792,31000.0,1161472.0
32000.0,4.749374677,9.500398566959882E-7,32000.0,0.9961271080816755,0.9180915707320676,0.9989,0.9576182374118463,0.8702981192476991,72.52941176470588,0.9624846304249267,0.9998986212489862,0.7653333333333333,32000.0,1156376.0
33000.0,5.018602629,1.0478538919662353E-6,33000.0,0.9973718764761927,0.9448839472576446,0.9989,0.9718701731774432,0.8702981192476991,48.01960784313726,0.9751324595753562,0.999897917517354,0.8334862385321119,33000.0,1404376.0
34000.0,5.170792032,1.1041252251990988E-6,34000.0,0.9973601169745154,0.9448654999359284,0.9989,0.9718701731774432,0.8702981192476991,48.01960784313726,0.9751324595753562,0.999897917517354,0.8284403669724782,34000.0,1429240.0
35000.0,5.392835107,1.187486074778688E-6,35000.0,0.999864239128194,0.951910980241297,0.999,0.9743644301340997,0.8702981192476991,48.26108374384236,0.9775313181326003,0.9998979279371236,0.8394495412844046,35000.0,1451200.0
36000.0,5.638478046,1.2822025953906111E-6,36000.0,0.9998652447642814,0.9519118167904933,0.999,0.9743644301340997,0.8702981192476991,48.26108374384236,0.9775313181326003,0.9998979279371236,0.8348623853211018,36000.0,1490472.0
37000.0,5.870800498,1.3729633233817087E-6,37000.0,0.9999898456487843,0.9613375874530696,0.9992,0.9793899953885108,0.8702981192476991,48.75124378109453,0.9823826302141351,0.9998979487702827,0.8642201834862343,37000.0,1510112.0
38000.0,6.013566517,1.4287683277749993E-6,38000.0,0.9999898456487843,0.9613454885520929,0.9992,0.9793899953885108,0.8702981192476991,48.75124378109453,0.9823826302141351,0.9998979487702827,0.8605504587155922,38000.0,1510952.0
39000.0,6.210379071,1.50646749136891E-6,39000.0,0.999990306122449,0.9649715292363275,0.9993,0.9819214876033049,0.8702981192476991,49.0,0.9848355296231769,0.9998979591836735,0.8747706422018295,39000.0,1526040.0
40000.0,6.425795986,1.5921783855315007E-6,40000.0,0.9999938775510204,0.9650334389649547,0.9994,0.9844656172328075,0.8702981192476991,49.0,0.9848857801796105,1.0,0.8899082568807248,40000.0,1538008.0
41000.0,6.621867398,1.6702597850530137E-6,41000.0,0.9999938775510204,0.9650243656910206,0.9994,0.9844656172328075,0.9999938775510204,49.0,0.9848857801796105,1.0,0.8871559633027439,41000.0,1539344.0
42000.0,6.77478458,1.7315214341336403E-6,42000.0,1.0,0.9987105768943021,1.0,1.0,0.9999938775510204,146.05882352941177,1.0,1.0,1.0,42000.0,1548584.0
43000.0,6.965052125,1.8077877245063125E-6,43000.0,1.0,1.0,1.0,?,0.9999938775510204,1.7976931348623157E308,?,1.0,1.0,43000.0,1549424.0
44000.0,7.119997378,1.8703835981337102E-6,44000.0,0.9990999099909991,0.018974453613146647,0.9999,0.0,0.9999938775510204,9999.0,0.0,1.0,0.9799086757990891,44000.0,1561600.0
45000.0,7.329949457,1.954879104027483E-6,45000.0,0.9990999099909991,0.018978555385515294,0.9999,0.0,0.9999938775510204,9999.0,0.0,1.0,0.9794520547945229,45000.0,1555664.0
46000.0,7.580426418,2.0562753863233637E-6,46000.0,0.998999899989999,0.01897717810100663,0.9999,0.0,0.9999938775510204,9999.0,0.0,1.0,0.9789954337899566,46000.0,1564792.0
47000.0,7.857115764,2.1723496518703485E-6,47000.0,0.999499899979996,0.07066193314482472,0.9998,0.0,0.9999938775510204,4999.0,0.0,1.0,0.9572727272727317,47000.0,1621608.0
48000.0,8.127564414,2.287108908852593E-6,48000.0,0.9994498899779956,0.07065790530312199,0.9998,0.0,0.9999938775510204,4999.0,0.0,1.0,0.9563636363636416,48000.0,1640232.0
49000.0,8.35962427,2.3864513348773345E-6,49000.0,0.9995499099819964,0.07066709395203719,0.9998,0.0,0.9999938775510204,4999.0,0.0,1.0,0.9554545454545509,49000.0,1654768.0
