learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.267950949,1.0096743140872568E-8,1000.0,1.0,1.0,0.997,0.0,0.0,1.7976931348623157E308,?,0.997,-Infinity,1000.0,145656.0,5.0,609.4,226.83650499864436,20504.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.456575676,1.7253557941429314E-8,2000.0,1.0,1.0,0.9985,0.0,0.0,1.7976931348623157E308,?,0.9985,-Infinity,2000.0,146664.0,5.0,1212.2,457.1495378976118,20705.6,75.13188404399283,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.521113961,1.970227482302114E-8,3000.0,1.0,1.0,0.999,0.0,0.0,1.7976931348623157E308,?,0.999,-Infinity,3000.0,146664.0,5.0,1794.0,665.6181337674027,20705.6,75.13188404399283,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.632736253,2.3961713428578026E-8,4000.0,1.0,1.0,0.99925,0.0,0.0,1.7976931348623157E308,?,0.99925,-Infinity,4000.0,147504.0,5.0,2387.2,893.73720969869,20873.6,75.13188404399283,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.67059128,2.54062381783314E-8,5000.0,1.0,1.0,0.9994,0.0,0.0,1.7976931348623157E308,?,0.9994,-Infinity,5000.0,147504.0,5.0,2982.0,1133.504962494651,20873.6,75.13188404399283,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.706025181,2.675837423610811E-8,6000.0,1.0,1.0,0.9995,0.0,0.0,1.7976931348623157E308,?,0.9995,-Infinity,6000.0,147504.0,5.0,3582.4,1351.1738600195017,20873.6,75.13188404399283,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.737788264,2.7975956030034764E-8,7000.0,1.0,1.0,0.9995714285714286,0.0,0.0,1.7976931348623157E308,?,0.9995714285714286,-Infinity,7000.0,148176.0,5.0,4178.6,1605.9854607062919,21008.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.758493302,2.877054703889414E-8,8000.0,1.0,1.0,0.999625,0.0,0.0,1.7976931348623157E308,?,0.999625,-Infinity,8000.0,148344.0,5.0,4780.8,1846.8232725412577,21041.6,75.13188404399283,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,0.831307219,3.156490480670084E-8,9000.0,1.0,1.0,0.9996666666666667,0.0,0.0,1.7976931348623157E308,?,0.9996666666666667,-Infinity,9000.0,148344.0,5.0,5379.0,2069.1802724750687,21041.6,75.13188404399283,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,0.967481001,3.6790805035407336E-8,10000.0,1.0,1.0,0.9997,0.0,0.0,1.7976931348623157E308,?,0.9997,-Infinity,10000.0,148344.0,5.0,5980.4,2289.7925233522797,21041.6,75.13188404399283,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
11000.0,1.071340671,4.0776596317949386E-8,11000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,11000.0,148344.0,5.0,6578.2,2527.2462681741167,21041.6,75.13188404399283,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
12000.0,1.120101719,4.264788437467068E-8,12000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,12000.0,148344.0,5.0,7176.0,2752.8461635187678,21041.6,75.13188404399283,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
13000.0,1.165612739,4.4396425072662525E-8,13000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,13000.0,148512.0,5.0,7772.4,2967.313313420071,21075.2,92.01738966086799,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
14000.0,1.246617462,4.79648093082942E-8,14000.0,0.4942994299429943,-0.4942994299429943,0.9999,0.0,1.0,9999.0,0.0,1.0,-0.39999999999906743,14000.0,170280.0,5.0,13929.4,1713.8107538465265,25305.6,8853.846892735382,3.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,1.505384672,7.969109571877246E-8,15000.0,0.8446769881774385,-0.03475330748087113,0.9988,0.14225672256296953,1.0,1427.5714285714287,0.3778509872018322,0.9993995797057941,-1.5714285714288094,15000.0,473928.0,5.0,24742.0,6414.51124404658,85454.4,14280.958399211167,11.8,4.604345773288535,6.4,2.3021728866442674,6.4,2.3021728866442674,3.8,1.3038404810405297,0.0,0.0,0.0,0.0,1.0,0.0
16000.0,1.651829995,1.0280731837440076E-7,16000.0,0.9168836370919287,0.2095055028774988,0.9985,0.3992598881822655,1.0,713.2857142857143,0.5974347420496925,0.9993991588223513,-0.7142857142857324,16000.0,610160.0,5.0,27521.0,7397.581665652634,112662.4,53635.720157372736,14.2,5.585696017507576,7.6,2.792848008753788,7.6,2.792848008753788,4.0,2.345207879911715,0.0,0.0,0.0,0.0,1.0,0.0
17000.0,1.720992649,1.1375462155430061E-7,17000.0,0.9163257131412549,0.20978105160111105,0.9985,0.3992598881822655,1.0,713.2857142857143,0.5974347420496925,0.9993991588223513,-0.8214285714285907,17000.0,611840.0,5.0,28079.8,7304.3436529232395,112998.4,53459.29154786846,14.2,5.585696017507576,7.6,2.792848008753788,7.6,2.792848008753788,4.0,2.345207879911715,0.0,0.0,0.0,0.0,1.0,0.0
18000.0,1.808811405,1.286466876803111E-7,18000.0,0.9158822351291809,0.20990400051775782,0.9984,0.3838190892845792,1.0,713.2857142857143,0.5974048096995622,0.9992990186260765,-1.0571428571429469,18000.0,655496.0,5.0,29605.4,7675.121940399384,121651.2,62657.361221168576,15.4,6.06630035524124,8.2,3.0331501776206204,8.2,3.0331501776206204,4.2,2.04939015319192,0.0,0.0,0.0,0.0,1.0,0.0
19000.0,1.873711501,1.3967201437946206E-7,19000.0,0.9150381963320077,0.21032042912722737,0.9984,0.3838190892845792,1.0,713.2857142857143,0.5974048096995622,0.9992990186260765,-1.171428571428666,19000.0,656672.0,5.0,29951.6,7295.498838324903,121886.4,62405.99289170872,15.4,6.06630035524124,8.2,3.0331501776206204,8.2,3.0331501776206204,4.2,2.04939015319192,0.0,0.0,0.0,0.0,1.0,0.0
20000.0,1.939235211,1.5081752043608787E-7,20000.0,0.9147806929701582,0.21044743412910027,0.9984,0.3838190892845792,1.0,713.2857142857143,0.5974048096995622,0.9992990186260765,-1.2857142857142403,20000.0,657512.0,5.0,30306.6,6922.069798839074,122054.4,62297.48974718002,15.4,6.06630035524124,8.2,3.0331501776206204,8.2,3.0331501776206204,4.2,2.04939015319192,0.0,0.0,0.0,0.0,1.0,0.0
21000.0,2.005668348,1.6212349355332143E-7,21000.0,0.9144802723813339,0.21059185475881836,0.9984,0.3838190892845792,0.9147806929701582,713.2857142857143,0.5974048096995622,0.9992990186260765,-1.3999999999999333,21000.0,657848.0,5.0,30647.8,6567.792490631841,122121.6,62354.67748934317,15.4,6.06630035524124,8.2,3.0331501776206204,8.2,3.0331501776206204,4.2,2.04939015319192,0.0,0.0,0.0,0.0,1.0,0.0
22000.0,2.074290884,1.738110185375686E-7,22000.0,0.9140654058539097,0.21079445833919386,0.9984,0.3838190892845792,0.9147806929701582,713.2857142857143,0.5974048096995622,0.9992990186260765,-1.5142857142857042,22000.0,658352.0,5.0,31000.8,6206.114299624203,122222.4,62305.929964972034,15.4,6.06630035524124,8.2,3.0331501776206204,8.2,3.0331501776206204,4.2,2.04939015319192,0.0,0.0,0.0,0.0,1.0,0.0
23000.0,2.141363669,1.852550016142987E-7,23000.0,0.9138937369460102,0.21087713319315182,0.9984,0.3838190892845792,0.9147806929701582,713.2857142857143,0.5974048096995622,0.9992990186260765,-1.6285714285714807,23000.0,659528.0,5.0,31363.0,5861.505651281077,122457.6,62216.59981709062,15.4,6.06630035524124,8.2,3.0331501776206204,8.2,3.0331501776206204,4.2,2.04939015319192,0.0,0.0,0.0,0.0,1.0,0.0
24000.0,2.208980124,1.9680643950224133E-7,24000.0,0.9487564603214949,0.26195663772441125,0.9985,0.39925026432991373,0.9147806929701582,768.2307692307693,0.6199562915162339,0.9992990888154601,-1.5714285714282723,24000.0,660368.0,5.0,31717.8,5530.795756489296,122625.6,62208.212293876444,15.4,6.06630035524124,8.2,3.0331501776206204,8.2,3.0331501776206204,4.2,2.04939015319192,0.0,0.0,0.0,0.0,1.0,0.0
25000.0,2.293730738,2.1134607658132292E-7,25000.0,0.9895791633306645,0.3939832088549421,0.9995,0.6151477832512575,0.9147806929701582,1249.0,0.7070713966552277,0.9998999199359487,0.16666666666682087,25000.0,663152.0,5.0,34638.8,7625.31826876754,123110.4,62464.08411879582,16.6,6.6932802122726045,8.8,3.3466401061363023,8.8,3.3466401061363023,4.2,2.04939015319192,0.0,0.0,0.0,0.0,1.0,0.0
26000.0,2.371187181,2.2465966910473384E-7,26000.0,0.9147914791479148,2.900162297467812E-4,0.9998,-1.0001000150268746E-4,0.9147806929701582,9999.0,0.0,0.9998999899989999,0.6533333333333436,26000.0,664416.0,5.0,35019.0,7296.8279752232065,123339.2,62296.52821145011,17.0,6.928203230275509,9.0,3.4641016151377544,9.0,3.4641016151377544,4.2,2.04939015319192,0.0,0.0,0.0,0.0,1.0,0.0
27000.0,2.451914672,2.3909954745288736E-7,27000.0,0.971458104097896,0.1614641066584075,0.9996,-1.5002250357418483E-4,0.9147806929701582,3332.3333333333335,0.0,0.9998999699909973,0.3647058823530283,27000.0,691424.0,5.0,37423.0,9143.076396924615,128689.6,56463.05819560255,17.8,6.418722614352485,9.4,3.2093613071762426,9.4,3.2093613071762426,4.4,1.816590212458495,0.0,0.0,0.0,0.0,1.0,0.0
28000.0,2.528886951,2.5328366218283365E-7,28000.0,0.9709246107165483,0.16149186452010256,0.9997,0.0,0.9147806929701582,3332.3333333333335,0.0,1.0,0.5058823529411893,28000.0,712312.0,5.0,37781.0,8847.00881654359,132864.0,51903.81103541434,17.8,6.418722614352485,9.4,3.2093613071762426,9.4,3.2093613071762426,4.4,1.816590212458495,0.0,0.0,0.0,0.0,1.0,0.0
