learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),member weight 1,member weight 2,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes)
1000.0,0.060145812,2.6905944909900424E-9,1000.0,1.0,1.0,0.999,0.0,0.0,1.7976931348623157E308,?,0.999,-Infinity,1000.0,172920.0,0.5263157894736842,0.4736842105263158,1000.0,0.0,73968.0,102389.06191581208
2000.0,0.123470606,5.578443329719206E-9,2000.0,1.0,1.0,0.9995,0.0,0.0,1.7976931348623157E308,?,0.9995,-Infinity,2000.0,176280.0,0.5263157894736842,0.4736842105263158,2000.0,0.0,75648.0,104764.94070059888
3000.0,0.190434702,8.690465526965757E-9,3000.0,1.0,1.0,0.9996666666666667,0.0,0.0,1.7976931348623157E308,?,0.9996666666666667,-Infinity,3000.0,179640.0,0.5263157894736842,0.4736842105263158,3000.0,0.0,77328.0,107140.81948538568
4000.0,0.254508396,1.1668162082259854E-8,4000.0,1.0,1.0,0.99975,0.0,0.0,1.7976931348623157E308,?,0.99975,-Infinity,4000.0,179640.0,0.5263157894736842,0.4736842105263158,4000.0,0.0,77328.0,107140.81948538568
5000.0,0.293965074,1.3501832139802475E-8,5000.0,1.0,1.0,0.9998,0.0,0.0,1.7976931348623157E308,?,0.9998,-Infinity,5000.0,179640.0,0.5263157894736842,0.4736842105263158,5000.0,0.0,77328.0,107140.81948538568
6000.0,0.332363046,1.5319677795407673E-8,6000.0,1.0,1.0,0.9998333333333334,0.0,0.0,1.7976931348623157E308,?,0.9998333333333334,-Infinity,6000.0,183000.0,0.5263157894736842,0.4736842105263158,6000.0,0.0,79008.0,109516.69827017248
7000.0,0.373121194,1.724925944811354E-8,7000.0,1.0,1.0,0.9998571428571429,0.0,0.0,1.7976931348623157E308,?,0.9998571428571429,-Infinity,7000.0,183000.0,0.5263157894736842,0.4736842105263158,7000.0,0.0,79008.0,109516.69827017248
8000.0,0.411147136,1.904949237356583E-8,8000.0,1.0,1.0,0.999875,0.0,0.0,1.7976931348623157E308,?,0.999875,-Infinity,8000.0,183000.0,0.5263157894736842,0.4736842105263158,8000.0,0.0,79008.0,109516.69827017248
9000.0,0.455174977,2.113386858717228E-8,9000.0,1.0,1.0,0.9998888888888889,0.0,0.0,1.7976931348623157E308,?,0.9998888888888889,-Infinity,9000.0,183000.0,0.5263157894736842,0.4736842105263158,9000.0,0.0,79008.0,109516.69827017248
10000.0,0.514823466,2.3957761124831932E-8,10000.0,1.0,1.0,0.9999,0.0,0.0,1.7976931348623157E308,?,0.9999,-Infinity,10000.0,183000.0,0.5263157894736842,0.4736842105263158,10000.0,0.0,79008.0,109516.69827017248
11000.0,0.577328226,2.6971207191360493E-8,11000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,11000.0,186360.0,0.5263157894736842,0.4736842105263158,11000.0,0.0,80688.0,111892.57705495929
12000.0,0.637936322,2.989321230730663E-8,12000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,12000.0,186360.0,0.5263157894736842,0.4736842105263158,12000.0,0.0,80688.0,111892.57705495929
13000.0,0.698112004,3.2794370110705493E-8,13000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,13000.0,186360.0,0.5263157894736842,0.4736842105263158,13000.0,0.0,80688.0,111892.57705495929
14000.0,0.785661839,3.838981088965924E-8,14000.0,0.49914991499149913,-0.49914991499149913,0.9999,0.0,1.0,9999.0,0.0,1.0,-0.39999999999906743,14000.0,247048.0,0.5263157894736842,0.4736842105263158,14000.0,0.0,111032.0,154805.47339160848
15000.0,0.875239322,4.47651900523694E-8,15000.0,0.9251904904861975,0.36368122111881585,0.9996,0.5998319294104408,1.0,1427.5714285714287,0.6546536707079771,1.0,0.14285714285714285,15000.0,275112.0,0.5,0.5000000000000001,15000.0,0.0,125064.0,174649.71809882775
16000.0,0.96258974,5.1495483103858095E-8,16000.0,0.9625940602557866,0.6818142788389836,0.9996,0.8331386617720773,1.0,713.2857142857143,0.8451542547285166,1.0,0.5428571428571719,16000.0,297832.0,0.5,0.5000000000000001,16000.0,0.0,136424.0,190715.18416738612
17000.0,1.040241001,5.760220716977077E-8,17000.0,0.9625940602557866,0.6818142788389836,0.9996,0.8331386617720773,1.0,713.2857142857143,0.8451542547285166,1.0,0.5142857142857451,17000.0,303992.0,0.5,0.5000000000000001,17000.0,0.0,139504.0,195070.96193949523
18000.0,1.11938993,6.382671226203854E-8,18000.0,0.9625189551085805,0.6817160877581503,0.9996,0.8331386617720773,1.0,713.2857142857143,0.8451542547285166,1.0,0.48571428571433467,18000.0,303992.0,0.421631000578369,0.578368999421631,18000.0,0.0,139504.0,195070.96193949523
19000.0,1.204919714,7.055302660103058E-8,19000.0,0.9625189551085805,0.6817160877581503,0.9996,0.8331386617720773,1.0,713.2857142857143,0.8451542547285166,1.0,0.4571428571429088,19000.0,303992.0,0.421631000578369,0.578368999421631,19000.0,0.0,139504.0,195070.96193949523
20000.0,1.27435425,7.601356319162994E-8,20000.0,0.9625189551085805,0.6817160877581503,0.9996,0.8331386617720773,1.0,713.2857142857143,0.8451542547285166,1.0,0.4285714285715192,20000.0,303992.0,0.421631000578369,0.578368999421631,20000.0,0.0,139504.0,195070.96193949523
21000.0,1.353641132,8.23178362000154E-8,21000.0,0.9625189551085805,0.6817160877581503,0.9996,0.8331386617720773,0.9625189551085805,713.2857142857143,0.8451542547285166,1.0,0.40000000000009994,21000.0,307352.0,0.421631000578369,0.578368999421631,21000.0,0.0,141184.0,197446.84072428202
22000.0,1.413062668,8.704257219759954E-8,22000.0,0.9625189551085805,0.6817160877581503,0.9996,0.8331386617720773,0.9625189551085805,713.2857142857143,0.8451542547285166,1.0,0.37142857142866115,22000.0,307352.0,0.421631000578369,0.578368999421631,22000.0,0.0,141184.0,197446.84072428202
23000.0,1.466165464,9.126489138897094E-8,23000.0,0.9625189551085805,0.6817160877581503,0.9996,0.8331386617720773,0.9625189551085805,713.2857142857143,0.8451542547285166,1.0,0.342857142857221,23000.0,307352.0,0.421631000578369,0.578368999421631,23000.0,0.0,141184.0,197446.84072428202
24000.0,1.514987554,9.514684230488621E-8,24000.0,0.998759926365814,0.7719549525935083,0.9997,0.8694176025071967,0.9625189551085805,768.2307692307693,0.8770580193070292,1.0,0.4857142857143836,24000.0,307352.0,0.421631000578369,0.578368999421631,24000.0,0.0,141184.0,197446.84072428202
25000.0,1.567914254,9.9337633734838E-8,25000.0,0.9374186849479583,0.8124568446266397,0.9999,0.9332835183603823,0.9625189551085805,1249.0,0.9354143466934853,1.0,0.8333333333333641,25000.0,306072.0,0.42163100057836905,0.578368999421631,25000.0,0.0,140544.0,196541.74404436327
26000.0,1.656116646,1.0675458611420045E-7,26000.0,0.4990999099909991,-0.4990999099909991,0.9999,0.0,0.9625189551085805,9999.0,0.0,1.0,0.8266666666666718,26000.0,325048.0,0.42163100057836905,0.578368999421631,26000.0,0.0,150032.0,209959.8023241592
27000.0,1.758169202,1.1616350476789391E-7,27000.0,0.8319829282117969,0.1252264220874657,0.9997,0.0,0.9625189551085805,3332.3333333333335,0.0,1.0,0.5235294117647712,27000.0,356384.0,0.4736842105263159,0.5263157894736842,27000.0,0.0,165700.0,232117.70041942084
28000.0,1.825299783,1.223527292279278E-7,28000.0,0.8317328531892901,0.12572708314481995,0.9997,0.0,0.9625189551085805,3332.3333333333335,0.0,1.0,0.5058823529411893,28000.0,356384.0,0.4736842105263159,0.5263157894736842,28000.0,0.0,165700.0,232117.70041942084
29000.0,1.922554276,1.3172445537777201E-7,29000.0,0.8736119447779112,0.26552557170727253,0.9997,0.3999039846375925,0.9625189551085805,2499.0,0.5,1.0,0.5166666666666846,29000.0,372488.0,0.5000000000000001,0.49999999999999994,29000.0,0.0,173752.0,243504.948023649
