learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),member weight 1,member weight 2,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.051517533,2.584279338630537E-9,1000.0,1.0,1.0,0.998,0.0,0.0,1.7976931348623157E308,?,0.998,-Infinity,1000.0,193904.0,0.5,0.5,1000.0,0.0,83520.0,88880.49396802428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000.0,0.09563704,4.837718436508958E-9,2000.0,1.0,1.0,0.999,0.0,0.0,1.7976931348623157E308,?,0.999,-Infinity,2000.0,197432.0,0.5,0.5,2000.0,0.0,85284.0,91137.57881357173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3000.0,0.13873526,7.0783300625512175E-9,3000.0,1.0,1.0,0.9993333333333333,0.0,0.0,1.7976931348623157E308,?,0.9993333333333333,-Infinity,3000.0,200960.0,0.5,0.5,3000.0,0.0,87048.0,93394.6636591192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4000.0,0.187497713,9.61341664167535E-9,4000.0,1.0,1.0,0.9995,0.0,0.0,1.7976931348623157E308,?,0.9995,-Infinity,4000.0,200960.0,0.5,0.5,4000.0,0.0,87048.0,93394.6636591192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5000.0,0.258468679,1.3303090403864367E-8,5000.0,1.0,1.0,0.9996,0.0,0.0,1.7976931348623157E308,?,0.9996,-Infinity,5000.0,200960.0,0.5,0.5,5000.0,0.0,87048.0,93394.6636591192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6000.0,0.331972255,1.7191517179051622E-8,6000.0,1.0,1.0,0.9996666666666667,0.0,0.0,1.7976931348623157E308,?,0.9996666666666667,-Infinity,6000.0,204488.0,0.5,0.5,6000.0,0.0,88812.0,95651.74850466666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7000.0,0.392677882,2.0402917198981675E-8,7000.0,1.0,1.0,0.9997142857142857,0.0,0.0,1.7976931348623157E308,?,0.9997142857142857,-Infinity,7000.0,204488.0,0.5,0.5,7000.0,0.0,88812.0,95651.74850466666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8000.0,0.435098811,2.2647034902206313E-8,8000.0,1.0,1.0,0.99975,0.0,0.0,1.7976931348623157E308,?,0.99975,-Infinity,8000.0,204488.0,0.5,0.5,8000.0,0.0,88812.0,95651.74850466666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9000.0,0.478247492,2.4929651553597716E-8,9000.0,1.0,1.0,0.9997777777777778,0.0,0.0,1.7976931348623157E308,?,0.9997777777777778,-Infinity,9000.0,204488.0,0.5,0.5,9000.0,0.0,88812.0,95651.74850466666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10000.0,0.520836665,2.7182669564942934E-8,10000.0,1.0,1.0,0.9998,0.0,0.0,1.7976931348623157E308,?,0.9998,-Infinity,10000.0,204488.0,0.5,0.5,10000.0,0.0,88812.0,95651.74850466666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11000.0,0.56535326,2.9578280620945413E-8,11000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,11000.0,208016.0,0.5,0.5,11000.0,0.0,90576.0,97908.83335021412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12000.0,0.60858187,3.190458019645471E-8,12000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,12000.0,208016.0,0.5,0.5,12000.0,0.0,90576.0,97908.83335021412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13000.0,0.66901018,3.515646250083008E-8,13000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,13000.0,208016.0,0.5,0.5,13000.0,0.0,90576.0,97908.83335021412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14000.0,0.791794846,4.434071745213329E-8,14000.0,0.4958995899589959,-0.4958995899589959,0.9999,0.0,1.0,9999.0,0.0,1.0,-0.39999999999906743,14000.0,289136.0,0.44751381215469616,0.5524861878453038,14000.0,0.0,131068.0,126470.29045590115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15000.0,0.884567111,5.257069162712951E-8,15000.0,0.9206230075338451,0.21862564733132706,0.9995,0.44427155114926886,1.0,1427.5714285714287,0.5345224838248488,1.0,-0.07142857142857142,15000.0,342912.0,0.30092770179611456,0.6990722982038854,15000.0,0.0,157888.0,128229.57212749327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16000.0,0.950704219,5.88466727514296E-8,16000.0,0.9515321450030042,0.4935080169090718,0.9995,0.7823702491425593,1.0,713.2857142857143,0.8017837257372732,1.0,0.4285714285714648,16000.0,366808.0,0.13050633460109906,0.8694936653989009,16000.0,0.0,169836.0,143463.48062137625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17000.0,1.009436499,6.450993286007602E-8,17000.0,0.9471188234957512,0.49497085864907286,0.9995,0.7823702491425593,1.0,713.2857142857143,0.8017837257372732,1.0,0.3928571428571814,17000.0,372728.0,0.1190088419153384,0.8809911580846617,17000.0,0.0,172736.0,148073.81683471255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18000.0,1.066622436,7.032316321393061E-8,18000.0,0.9467289920173958,0.49512463958230235,0.9995,0.7823702491425593,1.0,713.2857142857143,0.8017837257372732,1.0,0.3571428571429183,18000.0,392944.0,0.10839798964516677,0.8916020103548332,18000.0,0.0,182836.0,133790.25985474428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19000.0,1.12719645,7.648607347717094E-8,19000.0,0.9462175617292782,0.49541450100170253,0.9995,0.7823702491425593,1.0,713.2857142857143,0.8017837257372732,1.0,0.321428571428636,19000.0,393280.0,0.10839798964516677,0.8916020103548332,19000.0,0.0,183004.0,133552.6719762656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20000.0,1.188015765,8.26792277340239E-8,20000.0,0.9457848130239478,0.49559077764055015,0.9995,0.7823702491425593,1.0,713.2857142857143,0.8017837257372732,1.0,0.285714285714399,20000.0,393616.0,0.10839798964516677,0.8916020103548332,20000.0,0.0,183172.0,133315.08409778692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21000.0,1.287278586,9.287763258695187E-8,21000.0,0.9446153185888816,0.4960003866842723,0.9995,0.7823702491425593,0.9457848130239478,713.2857142857143,0.8017837257372732,1.0,0.2500000000001249,21000.0,397144.0,0.10839798964516677,0.8916020103548332,21000.0,0.0,184936.0,135572.16894333437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22000.0,1.375540097,1.019610910318771E-7,22000.0,0.943839232067752,0.4963052457158568,0.9995,0.7823702491425593,0.9457848130239478,713.2857142857143,0.8017837257372732,1.0,0.21428571428582643,22000.0,397816.0,0.10839798964516677,0.8916020103548332,22000.0,0.0,185272.0,135096.99318637702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23000.0,1.434925641,1.0807277114069915E-7,23000.0,0.9433850247489343,0.496468486076895,0.9995,0.7823702491425593,0.9457848130239478,713.2857142857143,0.8017837257372732,1.0,0.17857142857152628,23000.0,397816.0,0.10839798964516677,0.8916020103548332,23000.0,0.0,185272.0,135096.99318637702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24000.0,1.493242823,1.1407703503623396E-7,24000.0,0.9854272092181374,0.565107469476933,0.9996,0.8179882238381015,0.9457848130239478,768.2307692307693,0.8320502943378437,1.0,0.3142857142858448,24000.0,397984.0,0.10839798964516677,0.8916020103548332,24000.0,0.0,185356.0,134978.19924713767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25000.0,1.595075225,1.2458412195256392E-7,25000.0,0.9765562449959968,0.6673549402566383,0.9999,0.9332835183603823,0.9457848130239478,1249.0,0.9354143466934853,1.0,0.8333333333333641,25000.0,398840.0,0.10839798964516677,0.8916020103548332,25000.0,0.0,185784.0,132562.72248260444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26000.0,1.670243713,1.327122980047369E-7,26000.0,0.8933893389338934,1.4347222811172955E-4,0.9999,0.0,0.9457848130239478,9999.0,0.0,1.0,0.8266666666666718,26000.0,417984.0,0.10839798964516677,0.8916020103548332,26000.0,0.0,195356.0,145861.98682316102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27000.0,1.747359872,1.416795860699709E-7,27000.0,0.9686572638458204,0.0019464803636642936,0.9997,0.0,0.9457848130239478,3332.3333333333335,0.0,1.0,0.5235294117647712,27000.0,449488.0,0.10839798964516677,0.8916020103548332,27000.0,0.0,211108.0,167901.09097918333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28000.0,1.809711721,1.489381675940669E-7,28000.0,0.9670567837017772,0.001942055310519275,0.9997,0.0,0.9457848130239478,3332.3333333333335,0.0,1.0,0.5058823529411893,28000.0,449992.0,0.10839798964516677,0.8916020103548332,28000.0,0.0,211360.0,167544.70916146532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29000.0,1.882405893,1.5770373539851768E-7,29000.0,0.9761154461784713,0.09070039019462739,0.9996,0.0,0.9457848130239478,2499.0,0.0,1.0,0.3555555555555794,29000.0,466104.0,0.10839798964516677,0.8916020103548332,29000.0,0.0,219416.0,178926.299911444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
